title,price_and_currency,location,details_url,property_type,area,agency,floor,price_per_m2,description,is_top_ad,num_photos,date_added,search_url,total_offers
"продава Двустаен апартамент, 88 м2",320 000EUR,"София, Изгрев",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-izgrev/dvustaen/5988906/?sid=gFM8jD&page=7,продава Двустаен апартамент, 88 м2,АРСЕНАЛ - недвижими имоти,Етаж: 2 от 17,Цена на /м2/:3 636EUR,.  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . ПРЕУСТРОЕН .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .В...,False,10,2025-05-07 06:03:03.451455,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 81 м2",320 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/5934689/?sid=gFM8jD&page=7,продава Тристаен апартамент, 81 м2,ЕКС НВД,Етаж: 2 от 4,Цена на /м2/:3 951EUR,Компания `ЕКС` представя на Вашето внимание тристаен апартамент в един от най-аристократичните и предпочитани райони на гр. София- кв. Оборище.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на...,False,7,2025-05-07 06:03:03.451923,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Четиристаен апартамент, 115 м2",320 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/chetiristaen/5608324/?sid=gFM8jD&page=7,продава Четиристаен апартамент, 115 м2,АРСЕНАЛ - недвижими имоти,Етаж: 2 от 9,Цена на /м2/:2 783EUR,".  .  .  .  .  .  .  .  .  .  .  ЩЕ .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . Ви предложим 'многофункционален' имот, ПОДХОДЯЩ както за жилище, така и за офис. Апартаментът се...",False,10,2025-05-07 06:03:03.452360,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Четиристаен апартамент, 167 м2",320 373EUR,"София, Суха Река",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/suha-reka/chetiristaen/5970854/?sid=gFM8jD&page=7,продава Четиристаен апартамент, 167 м2,MARTIN’S,Етаж: 6 от 9,Цена на /м2/:1 918EUR,КЛИЕНТИТЕ НА MARTIN'S СА ПО-ДОВОЛНИ! ПОПИТАЙ ЗАЩО!Предлагаме четиристаен апартамент с обща площ от 166.86 кв.м. в сграда ново строителство. Имотът е ситуиран на шести етаж в сграда с общо 9...,False,3,2025-05-07 06:03:03.452813,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Двустаен апартамент, 75 м2",325 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/dvustaen/6023443/?sid=gFM8jD&page=7,продава Двустаен апартамент, 75 м2,ХОУМЛАЙТ,Етаж: 9 от 10,Цена на /м2/:4 333EUR,"ХОУМ ЛАЙТ Ви предлага уютен, двустаен апартамент на перфектна локация в кв. Изток!Жилището се намира на девети етаж в тухлена сграда, разположена в непосредствена близост до парк...",False,11,2025-05-07 06:03:03.453261,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 118 м2",325 404EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/6064376/?sid=gFM8jD&page=7,продава Тристаен апартамент, 118 м2,Имоти Премиер,Етаж: 2 от 6,Цена на /м2/:2 758EUR,"Имоти ПРЕМИЕР представя на Вашето внимание тристаен апартамент в р-н Оборище!﻿Жилището е ситуирано на етаж 2 от 6 в новострояща се бутикова, тухлена сграда. Изложение ЮГ/СЕВЕР. Обща...",False,9,2025-05-07 06:03:03.453764,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 125 м2",327 132EUR,"София, Суха Река",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/suha-reka/tristaen/5829598/?sid=gFM8jD&page=8,продава Тристаен апартамент, 125 м2,Luximmo Finest Estates,Етаж:  от 10,Цена на /м2/:2 617EUR,"Представяме тристаен апартамент в чисто нова бутикова сграда с отлична локация в кв. „Сухата река“. В непосредствена близост се намира метростанция „Хаджи Димитър“, а популярният парк „Заимов“,...",False,5,2025-05-07 06:03:07.036133,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 97 м2",330 000EUR,"София, Редута",https://www.imoti.net/bg/obiava/prodava/sofia/reduta/tristaen/6047262/?sid=gFM8jD&page=8,продава Тристаен апартамент, 97 м2,Революшън Естейт България,Етаж: 3 от 5,Цена на /м2/:3 402EUR,"Революшън Естейт представя на Вашето внимание тристаен апартамент в ж.к. Редута.Намира се на комуникативно място в близост до ясли, детски градини, парк Гео Милев, спирки на градски...",False,15,2025-05-07 06:03:07.036646,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 119 м2",332 000EUR,"София, Редута",https://www.imoti.net/bg/obiava/prodava/sofia/reduta/tristaen/6031547/?sid=gFM8jD&page=8,продава Тристаен апартамент, 119 м2,Явлена Изток,Етаж: 0 от 8,Цена на /м2/:2 790EUR,"Явлена-Изток представя тристаен апартамент в квартал Редута, на комуникативно място и добра локация. ПРЕД АКТ 16!Апартамента е непреходен, със северозападно изложение, на партерен етаж с...",False,8,2025-05-07 06:03:07.037116,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
"продава Тристаен апартамент, 100 м2",335 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/sofija-iztok/tristaen/5716842/?sid=gFM8jD&page=8,продава Тристаен апартамент, 100 м2,Luximmo Finest Estates,Етаж:  от 14,Цена на /м2/:3 350EUR,"Ексклузивно представяме автентично тристайно жилище от 80-те години, с обща площ 100 кв.м, за продажба в престижния столичен кв. ""Изток"".Местоположението на имота е на емблематичната...",False,5,2025-05-07 06:03:07.037637,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,390
