title,price_and_currency,location,details_url,property_type,area,agency,agency_url,floor,price_per_m2,description,reference_number,is_top_ad,num_photos,date_added,offer_type,price,currency,city,neighborhood,site,ref_no
"продава Многостаен апартамент, 207 м2",543 312EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/5929135/?sid=h892j0&page=8,, 207 м2,АДРЕС Недвижими имоти АД,,Етаж: 10 от 14,Цена на /м2/:2 625EUR,"Апартаментът се състои от 3 спални, светла кухня с трапезария и дневна, с обща площ 48кв.м, 2 бани с WC; входно антре със складово помещение и място за голям гардероб ; тераса пред всички...",,False,7,2025-01-10 06:02:31.975005,продава,543312,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 195 м2",547 470EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/6003325/?sid=h892j0&page=8,, 195 м2,АДРЕС Недвижими имоти АД,,Етаж: 8 от 14,Цена на /м2/:2 808EUR,"Апартаментът се състои от 3 спални- към две от спалните има прилежаща баня с WC; дневна с трапезария и кухненски бокс -42,00м², 3 бани с WC; входно антре със складово помещение...",,False,8,2025-01-10 06:02:31.975445,продава,547470,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 200 м2",547 800EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/5929131/?sid=h892j0&page=8,, 200 м2,АДРЕС Недвижими имоти АД,,Етаж: 12 от 14,Цена на /м2/:2 739EUR,"Апартаментът се състои от 3 спални, светла кухня с трапезария и дневна, с обща площ 48кв.м, 2 бани с WC; входно антре със складово помещение и място за голям гардероб ; тераса пред всички...",,False,8,2025-01-10 06:02:31.975880,продава,547800,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 207 м2",554 400EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/5929159/?sid=h892j0&page=8,, 207 м2,АДРЕС Недвижими имоти АД,,Етаж: 7 от 14,Цена на /м2/:2 678EUR,"Апартаментът се състои от 3 спални, светла кухня с трапезария и дневна, с обща площ 48кв.м, 2 бани с WC; входно антре със складово помещение и място за голям гардероб ; тераса пред всички...",,False,8,2025-01-10 06:02:31.976316,продава,554400,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 218 м2",561 330EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/5929140/?sid=h892j0&page=8,, 218 м2,АДРЕС Недвижими имоти АД,,Етаж: 8 от 14,Цена на /м2/:2 575EUR,"Апартаментът се състои от 3 спални, светла кухня с трапезария и дневна, с обща площ 48кв.м, 2 бани с WC; входно антре със складово помещение и място за голям гардероб ; тераса пред всички...",,False,8,2025-01-10 06:02:31.976789,продава,561330,EUR,София,Оборище,Site.IMOTINET,
"продава Мезонет, 306 м2",565 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/sofija-iztok/mezonet/5933107/?sid=h892j0&page=8,, 306 м2,Serdika Build,,Етаж: 9 от 10,Цена на /м2/:1 846EUR,"Директно от инвеститор.Продаваме без посредници. Благодарим предварително на агенциите и брокерите за разбирането!Много повече информация, снимки и актуални свободни имоти...",,False,6,2025-01-10 06:02:31.977241,продава,565000,EUR,София,Изток,Site.IMOTINET,
"продава Тристаен апартамент, 143 м2",567 606EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/6004586/?sid=h892j0&page=9,PropertyType.TRISTAEN, 143 м2,АДРЕС Недвижими имоти АД,,Етаж: 14 от 14,Цена на /м2/:3 969EUR,"Апартаментът се състои от 2 спални- към едната от спалните има прилежаща баня с WC; дневна с трапезария и кухненски бокс 40кв.м, 2 бани с WC; складово помещение; входно предверие;...",,False,8,2025-01-10 06:02:34.690317,продава,567606,EUR,София,Оборище,Site.IMOTINET,
"продава Четиристаен апартамент, 140 м2",570 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/chetiristaen/6006314/?sid=h892j0&page=9,PropertyType.CHETIRISTAEN, 140 м2,First Estates,,Етаж: 3 от 3,Цена на /м2/:4 071EUR,Този елегантен апартамент се намира в непосредствена близост до Докторска градина на улица „Алеко Константинов“.На площ от 137 кв.м. имотът съчетава модерен дизайн с функционално...,,False,28,2025-01-10 06:02:34.690865,продава,570000,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 195 м2",582 120EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/6003324/?sid=h892j0&page=9,, 195 м2,АДРЕС Недвижими имоти АД,,Етаж: 9 от 14,Цена на /м2/:2 985EUR,"Апартаментът се състои от 3 спални- към две от спалните има прилежаща баня с WC; дневна с трапезария и кухненски бокс -42,00м², 3 бани с WC; входно антре със складово помещение...",,False,8,2025-01-10 06:02:34.691319,продава,582120,EUR,София,Оборище,Site.IMOTINET,
"продава Четиристаен апартамент, 178 м2",583 275EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/chetiristaen/5909972/?sid=h892j0&page=9,PropertyType.CHETIRISTAEN, 178 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,,Етаж: 4 от 14,Цена на /м2/:3 277EUR,"БЕЗ КОМИСИОН ОТ КУПУВАЧА!!!ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев четиристаен апартамент в новоизграждащ се затворен жилищен комплекс, с изключително висококачествено строителство от...",,False,1,2025-01-10 06:02:34.691831,продава,583275,EUR,София,Оборище,Site.IMOTINET,
"продава Тристаен апартамент, 129 м2",585 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/tristaen/5924936/?sid=h892j0&page=9,PropertyType.TRISTAEN, 129 м2,АДРЕС Недвижими имоти АД,,Етаж: 9 от 10,Цена на /м2/:4 535EUR,"Напълно обзаведено жилище, уникален дизайн. Състои се от трапезария и кухня, две спални с дрешник, мокро помещение, една баня с тоалетна и тоалетна за гости.Изложението е...",,False,12,2025-01-10 06:02:34.692286,продава,585000,EUR,София,Изток,Site.IMOTINET,
"продава Тристаен апартамент, 97 м2",589 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/5997385/?sid=h892j0&page=9,PropertyType.TRISTAEN, 97 м2,Galiano Estates,,Етаж: 1 от 4,Цена на /м2/:6 072EUR,"Galiano Estates има удоволствието да ви представи страхотен тристаен апартамент на ул. ""Оборище"".Разпределение: входен коридор, две помещения със свод помежду им, кухня, две спални, баня с...",,False,5,2025-01-10 06:02:34.692809,продава,589000,EUR,София,Оборище,Site.IMOTINET,
"продава Многостаен апартамент, 195 м2",595 980EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/mnogostaen/6003302/?sid=h892j0&page=9,, 195 м2,АДРЕС Недвижими имоти АД,,Етаж: 10 от 14,Цена на /м2/:3 056EUR,"Апартаментът се състои от 3 спални- към две от спалните има прилежаща баня с WC; дневна с трапезария и кухненски бокс -42,00м², 3 бани с WC; входно антре със складово помещение...",,False,8,2025-01-10 06:02:34.693260,продава,595980,EUR,София,Оборище,Site.IMOTINET,
"продава Тристаен апартамент, 173 м2",599 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/tristaen/5945757/?sid=h892j0&page=9,PropertyType.TRISTAEN, 173 м2,Глобъл Сървисиз,,Етаж: 2 от 8,Цена на /м2/:3 462EUR,"Луксозно завършени и дизайнерски обзаведен апартамент в представителна нова сграда от 2009г с охрана на комуникативно, тихо и спокойно място в кв. Изток. Състои се от просторен хол с трапезария и...",,False,18,2025-01-10 06:02:34.693711,продава,599000,EUR,София,Изток,Site.IMOTINET,
"продава Четиристаен апартамент, 157 м2",600 000EUR,"София, Изток",https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/chetiristaen/5642960/?sid=h892j0&page=9,PropertyType.CHETIRISTAEN, 157 м2,Глобъл Сървисиз,,Етаж: 4 от 11,Цена на /м2/:3 822EUR,"Имаме удоволствието да ви представим четиристаен апартамент в нова стилна и луксозна жилищна сграда. За хората, които търсят луксозен и уютен нов дом, който да им предостави уединение и сигурност в...",,False,,2025-01-10 06:02:34.694136,продава,600000,EUR,София,Изток,Site.IMOTINET,
