price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"245 000 €479 178,35 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
76 кв.м","3-ти ет., ТЕЦ, Агенция Явлена-Изток   предлага на Вашето внимание един  слънчев , топъл, класически тристаен апарта ...",https://www.imoti.com/obiava/14188422/prodava-3-staen-grad-sofiya-gotse-delchev,0892515345,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.411938
"278 000 €543 720,74 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
78 кв.м","3-ти ет., ТЕЦ, апартаментът е позициониран в предпочитан район поради близостта до Южен парк и отличната комуникати ...",https://www.imoti.com/obiava/15979318/prodava-3-staen-grad-sofiya-gotse-delchev,0886575557,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.412296
"298 000 €582 837,34 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
75 кв.м","13-ти ет., ТЕЦ, ЕКСКЛУЗИВНО В СИТИБУЛ!ВИРТУАЛНА РАЗХОДКА С ВЪЗМОЖНОСТ ЗА 3D ОГЛЕД:https://my.matterport.com/show/?m= ...",https://www.imoti.com/obiava/98867944/prodava-3-staen-grad-sofiya-gotse-delchev,0899997728,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.412672
"298 000 €582 837,34 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
87 кв.м","3-ти ет., ТЕЦ, TRENDIMO предлага просторен тристаен апартамент с възможност за преустройство в четиристаен, разполо ...",https://www.imoti.com/obiava/28227695/prodava-3-staen-grad-sofiya-gotse-delchev,0878494060,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.413032
"317 000 €619 998,11 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
111 кв.м",,https://www.imoti.com/obiava/97724653/prodava-3-staen-grad-sofiya-gotse-delchev,0879221122,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.413397
"321 000 €627 821,43 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
113 кв.м","3-ти ет., Лукс и спокойствие в сърцето на София The New Building, ул. Метличина поляна 15.Представяме Ви The N ...",https://www.imoti.com/obiava/65417876/prodava-3-staen-grad-sofiya-gotse-delchev,0877091930,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.413772
"330 000 €645 423,90 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
130 кв.м","12-ти ет., ТЕЦ, Хоумлайт има удоволствието да ви представи впечатляващ, луксозен и изключително просторен мезонет, р ...",https://www.imoti.com/obiava/30531059/prodava-3-staen-grad-sofiya-gotse-delchev,0893211311,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.414126
"333 000 €651 291,39 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
123 кв.м","3-ти ет., ГАЗ, ПРОСТОРЕН ТРИСТАЕН АПАРТАМЕНТ! Панорама! ДНЕВНА 33 М2! СПАЛНЯ 20 М2! СПАЛНЯ 15 М2! МАЗЕ!Южен парк е  ...",https://www.imoti.com/obiava/80001901/prodava-3-staen-grad-sofiya-gotse-delchev,0888925556,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.414482
"344 000 €672 805,52 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
85 кв.м","6-ти ет., ТЕЦ, Агенция 'Мечтаният Дом' Ви предлага ексклузивен луксозен тристаен апартамент в един от най-предпочит ...",https://www.imoti.com/obiava/18361101/prodava-3-staen-grad-sofiya-gotse-delchev,0888801655,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.414853
"391 800 €766 294,19 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
136 кв.м","5-ти ет. от 10, ГАЗ, Строително-инвестиционна компания 'Меркурий-99 продава тристаен апартамент с АКТ 16 в бутикова сград ...",https://www.imoti.com/obiava/71881270/prodava-3-staen-grad-sofiya-gotse-delchev,0882915366,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:50.294386
