price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"410 000 €801 890,30 лв.Цената е с включено ДДС",Продава  4-стаен,"град София, Белите брези","град София, Белите брези
175 кв.м","2-ри ет., БЕЗ КОМИСИОНА ОТ КУПУВАЧА! ARCO REAL ESTATE предлага уютен, светъл и просторен четиристаен апартамен ...",https://www.imoti.com/obiava/88284875/prodava-4-staen-grad-sofiya-belite-brezi,0877284744,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.466264
"410 001 €801 892,26 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Белите брези","град София, Белите брези
131 кв.м","6-ти ет., ГАЗ, ТЕЦ, Unique Estates има удоволствието да ви представи, напълно обзаведен апартамент с три спални, в сград ...",https://www.imoti.com/obiava/64487080/prodava-4-staen-grad-sofiya-belite-brezi,0882 300 400,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.466615
"375 000 €733 436,25 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Борово","град София, Борово
140 кв.м","7-ми ет., ТЕЦ, Имоти Премиер представя на Вашето внимание прекрасен четиристаен апартамент в кв. Борово.Този светъл ...",https://www.imoti.com/obiava/74408963/prodava-4-staen-grad-sofiya-borovo,0877560016,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.466967
"415 000 €811 669,45 лв.Цената е с включено ДДС",Продава  4-стаен,"град София, Борово","град София, Борово
125 кв.м","6-ти ет., Агенция Би Пи Си Представя: 🌟 Просторен апартамент с огромна тераса в кв. Манастирски ливади ...",https://www.imoti.com/obiava/47886418/prodava-4-staen-grad-sofiya-borovo,0899898979,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.467330
"449 990 €880 103,94 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Борово","град София, Борово
250 кв.м","2-ри ет., ТЕЦ, 360 - обиколка! Огромен имот на 3 нива! Магазин/Офис/Лекарски кабинет/Дентален център/Занималня!360  ...",https://www.imoti.com/obiava/52849579/prodava-4-staen-grad-sofiya-borovo,0879900430,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.467672
"398 000 €778 420,34 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
147 кв.м","10-ти ет., ТЕЦ, LUXIMMO FINEST ESTATES: www.luximmo.bgЕксклузивно представяме атрактивен семеен имот на изключителна ...",https://www.imoti.com/obiava/66876510/prodava-4-staen-grad-sofiya-gotse-delchev,0988170875,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.468017
"296 000 €578 925,68 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Дианабад","град София, Дианабад
85 кв.м","8-ми ет., ТЕЦ, 3 СПАЛНИ, 2 БАНИ с ТОАЛЕТНИ, СЛЕД ЛУКСОЗЕН РЕМОНТАгенция Хоумуърдл продава 4-стаен непреходен апарта ...",https://www.imoti.com/obiava/56919086/prodava-4-staen-grad-sofiya-dianabad,0888705170,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.468374
"365 000 €713 877,95 лв.Цената е с включено ДДС",Продава  4-стаен,"град София, Дианабад","град София, Дианабад
165 кв.м","5-ти ет., ЮЖНО ИЗЛОЖЕНИЕ !!! ПОЛУОБЗАВЕДЕН !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!Пр ...",https://www.imoti.com/obiava/43297995/prodava-4-staen-grad-sofiya-dianabad,0875363330,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.468718
"370 000 €723 657,10 лв.Не се начислява ДДС",Продава  4-стаен,"град София, Дианабад","град София, Дианабад
167 кв.м","7-ми ет., ПРОМОЦИОНАЛНА ЦЕНА САМО ДО 31.12.2025 г. Явлена продава ексклузивно голям  четиристаен апартамент. Ж ...",https://www.imoti.com/obiava/67748412/prodava-4-staen-grad-sofiya-dianabad,0888109040,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.469057
"469 000 €917 284,27 лв.Цената е без ДДС",Продава  4-стаен,"град София, Дианабад","град София, Дианабад
146 кв.м","8-ми ет., 446647 БЕЗ КОМИСИОНА! БЕЗ ИНДЕКСАЦИЯ НА ЦЕНИ! ОТ ДОКАЗАН ИНВЕСТИТОР!Представяме Ви Simeonovsko 12, к ...",https://www.imoti.com/obiava/71321255/prodava-4-staen-grad-sofiya-dianabad,0883942516,https://www.imoti.com/prodazhbi/grad-sofiya?pubtype=4~5~&sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,2026-01-22T18:06:24.469414
