price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
158 000 €309 021.14 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","95 кв.м, 8-ми ет. от 8, Въведен в експлоатация, Агенция '21 век недвижими имоти' продава голям,четиристаен апартамент с реална квадратура  и със сле ..., тел.: 0898774425",//www.imot.bg/obiava-1d173469911244440-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 12 снимки,0898774425,21 ВЕК,//vek21.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.954144
164 000 €320 756.12 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","101 кв.м, 6-ти ет. от 7, Въведен в експлоатация 1980 - 1989 г., 🏢 Четиристаен панелен апартамент в Каменица 1 до р-т Торро Гранде Оферта 22663 💶 Цен ..., тел.: 0892718178",//www.imot.bg/obiava-1d174731934430646-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 9 снимки,0892718178,АВИРЕКС НЕДВИЖИМИ ИМОТИ,//avirexplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.954974
199 990 €391 146.44 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","114 кв.м, 5-ти ет. от 6, Въведен в експлоатация 1998 г., 🏡 ОФЕРТА  13827 Агенция Estate Shop с удоволствие представя:  ✨ ЧЕТИРИСТАЕН АПАРТАМЕН ..., тел.: 0886193365",//www.imot.bg/obiava-1d176907606431539-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 14 снимки,0886193365,ЕСТЕЙТ ШОП,//estateshop22.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.955823
205 000 €400 945.15 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","94 кв.м, 6-ти ет. от 8, 1970 - 1979 г., ЧЕТИРИСТАЕН ! КАМЕНИЦА 1 ! ТОП ЛОКАЦИЯ !  Представяме на Вашето внимание , четиристаен апартамент ,  ..., тел.: 0876606117",//www.imot.bg/obiava-1d173139585186738-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 7 снимки,0876606117,НЮ ХОУМ ЛИВИНГ ЕООД,//newhome20.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.956634
224 400 €438 888.25 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","114 кв.м, 5-ти ет. от 6, 1998 г., (ОФЕРТА-8889) АКРОНА ИМОТИ 4-стаен апартамент за продажба в Пловдив, кв. Каменица 1   отличен семеен ..., тел.: 0897650416",//www.imot.bg/obiava-1d175923556753962-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 10 снимки,0897650416,АКРОНА НЕДВИЖИМИ ИМОТИ,//acrona.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.957455
279 900 €547 436.82 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","100 кв.м, 2-ри ет. от 6, Въведен в експлоатация 1970 - 1979 г., ТРИ СПАЛНИ!! ЦЕНТРАЛНА ЛОКАЦИЯ!! Представяме на Вашето внимание просторен четиристаен апартамент, ра ..., тел.: 0875363330",//www.imot.bg/obiava-1d175759827434557-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 17 снимки,0875363330,ХОУМ ТУ Ю,//home2u5.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.958274
340 000 €664 982.20 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","110 кв.м, 2-ри ет. от 5, Въведен в експлоатация 1970 - 1979 г., ARCO REAL ESTATE продава просторен и светъл 4-стаен апартамент в Пловдив, кв. Каменица 1.   Ако иска ..., тел.: 0876208274",//www.imot.bg/obiava-1d176518797670875-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 6 снимки,0876208274,АРКО РИЪЛ ЕСТЕЙТ ПЛОВДИВ,//arcoplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.959093
394 760 €772 083.45 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","198 кв.м, 7-ми ет. от 7, Въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933",//www.imot.bg/obiava-1d175455660148884-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 2 снимки,0896878933,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.959922
394 760 €772 083.45 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","198 кв.м, 7-ми ет. от 7, Ще бъде въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933",//www.imot.bg/obiava-1d176492263158055-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 2 снимки,0896878933,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.960745
203 400 €397 815.82 лв.,Продава 4-СТАЕН,"град Пловдив, Капана","91 кв.м, 6-ти ет. от 6, БИЛДИНГ БОКС продава апартамент с 3 спални, със сменени ел. и ВиК инсталации, в непосредствена близо ..., тел.: 0879900984",//www.imot.bg/obiava-1d176892166965602-prodava-chetiristaen-apartament-grad-plovdiv-kapana,Повече детайлии 9 снимки,0879900984,БИЛДИНГ БОКС,//buildingbox.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.961546
250 329 €489 600.97 лв.,Продава 4-СТАЕН,"град Пловдив, Капана","106 кв.м, ул. Йоаким Груев 39А, 1-ви ет. от 5, Въведен в експлоатация, ЧСИ Людмила Мурджанова, рег.   819 на КЧСИ, район на действие ОС   Пловдив, е насрочил по ИД   20258 ..., тел.: 0889987299",//www.imot.bg/obiava-1d176762265323055-prodava-chetiristaen-apartament-grad-plovdiv-kapana-ul-yoakim-gruev-39a,Повече детайли,0889987299,БАКБ АД,//bacb.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.962369
610 000 €1 193 056.30 лв.,Продава 4-СТАЕН,"град Пловдив, Капана","266 кв.м, 4-ти ет. от 5, Въведен в експлоатация 2015 г.,  Многостаен апартамент с 3 спални Квадратура266 кв.м Вид строителствоТухла Година на строителство201 ..., тел.: 0878201878",//www.imot.bg/obiava-1d174283958254942-prodava-chetiristaen-apartament-grad-plovdiv-kapana,Повече детайлии 11 снимки,0878201878,ДЕАКОМ,//deacom.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.963199
196 000 €383 342.68 лв.,Продава 4-СТАЕН,"град Пловдив, Мараша","112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111",//www.imot.bg/obiava-1d176277610765387-prodava-chetiristaen-apartament-grad-plovdiv-marasha-rayon-tsentralen,Повече детайлии 9 снимки,0887673111,ПРАЙМ КОНСУЛТ,//prime98.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.964002
189 000 €369 651.87 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","109 кв.м, 6-ти ет. от 6, Въведен в експлоатация 1970 - 1979 г.,  D& R Real Estate (Дани-Руми) Ви представя едно истинско бижу сред имотите на Пловдив! ?  Невероятна ..., тел.: 088335565",//www.imot.bg/obiava-1d176227090750115-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 5 снимки,088335565,ДАНИ-РУМИ,//danirumi.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.964800
194 000 €379 431.02 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","126 кв.м, 3-ти ет. от 3, Въведен в експлоатация, 🌟 ТОП локация / Дългосрочна инвестиция / Невероятен потенциал 🌟  Консултант Недвижим ..., тел.: 0895501041",//www.imot.bg/obiava-1d175872131324688-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 5 снимки,0895501041,НОВ ДОМ 1,//novdom1pd.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.965605
194 000 €379 431.02 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","126 кв.м, Медицински университет, 3-ти ет. от 3, Въведен в експлоатация 1980 - 1989 г., Оферта 4021. Предлагаме Ви четиристаен монолит, с РЗП 126 кв.м., разположен в непосредствена близост ..., тел.: 0897812066",//www.imot.bg/obiava-1d174187530514340-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm-meditsinski-universitet,Повече детайлии 8 снимки,0897812066,ДИАНА,//dianaimoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.966428
