id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,neighborhoods,main_property_type
24605,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-7020m2-plovdiv-kv.-proslav/la24605,вчера,"кв. Прослав, Пловдив","Земеделска земя, 7020m²","Категория 4, Нива",1,['https://homes.bg/2023-03-14_2/96219764'],70200.0,EUR,10 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633025,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
22398,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-24168m2-smolyan-s.smilyan/la22398,вчера,"с.Смилян, Смолян","Земеделска земя, 24168m²",Ливада,1,['https://homes.bg/2020-09-25_1/54613919'],49500.0,ЛЕВА,2 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633036,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
20220,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-40000m2-smolyan-s.smilyan/la20220,вчера,"с.Смилян, Смолян","Земеделска земя, 40000m²",Гора,1,"['https://homes.bg/2018-08-09_2/27438967', 'https://homes.bg/2018-08-09_2/27438969', 'https://homes.bg/2018-08-09_2/27438965', 'https://homes.bg/2018-08-09_2/27438970']",480000.0,ЛЕВА,12 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633049,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34738,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3001m2-smolyan-k.k.pamporovo/la34738,вчера,"к.к.Пампорово, Смолян","Земеделска земя, 3001m²",Гора,1,"['https://homes.bg/2025-01-09_1/112626509', 'https://homes.bg/2025-01-09_1/112626510']",85000.0,EUR,28 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633061,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34716,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4500m2-plovdiv-s.calapica/la34716,,"с.Цалапица, Пловдив","Земеделска земя, 4500m²",Нива,1,"['https://homes.bg/2025-01-08_2/112624516', 'https://homes.bg/2025-01-08_2/112624517', 'https://homes.bg/2025-01-08_2/112624518']",103500.0,EUR,23 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633073,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34736,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-18800m2-stambolijski-gr.stambolijski/la34736,,"гр.Стамболийски, Стамболийски","Земеделска земя, 18800m²","Категория 4, Нива",1,"['https://homes.bg/2025-01-08_2/112621391', 'https://homes.bg/2025-01-08_2/112621392', 'https://homes.bg/2025-01-08_2/112621393', 'https://homes.bg/2025-01-08_2/112621394']",18800.0,EUR,1 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633085,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
33806,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1800m2-stambolijski-gr.stambolijski/la33806,,"гр.Стамболийски, Стамболийски","Земеделска земя, 1800m²","Категория 4, Овощна градина",1,"['https://homes.bg/2024-01-30_2/108128875', 'https://homes.bg/2024-01-30_2/108128877', 'https://homes.bg/2024-01-30_2/108128880', 'https://homes.bg/2024-01-30_2/108128882', 'https://homes.bg/2024-01-30_2/108128885']",43000.0,ЛЕВА,23 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633097,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34735,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-600m2-pleven-zhk.-kajlyka/la34735,,"жк. Кайлъка, Плевен","Земеделска земя, 600m²",Друго,1,"['https://homes.bg/2025-01-07_2/112609377', 'https://homes.bg/2025-01-07_2/112609379', 'https://homes.bg/2025-01-07_2/112609483', 'https://homes.bg/2025-01-07_2/112609385', 'https://homes.bg/2025-01-07_2/112609481', 'https://homes.bg/2025-01-07_2/112609392', 'https://homes.bg/2025-01-07_2/112609394', 'https://homes.bg/2025-01-07_2/112609396']",22000.0,EUR,36 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633110,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
33854,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2000m2-plovdiv-s.kostievo/la33854,,"с.Костиево, Пловдив","Земеделска земя, 2000m²","Категория 4, Овощна градина",1,"['https://homes.bg/2025-01-07_2/112617680', 'https://homes.bg/2025-01-07_2/112617681']",72000.0,EUR,36 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633121,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
26418,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1829m2-plovdiv-s.markovo/la26418,,"с.Марково, Пловдив","Земеделска земя, 1829m²","Категория 10, Нива",1,"['https://homes.bg/2025-01-07_2/112617673', 'https://homes.bg/2025-01-07_2/112617674', 'https://homes.bg/2025-01-07_2/112617675', 'https://homes.bg/2025-01-07_2/112617676', 'https://homes.bg/2025-01-07_2/112617677', 'https://homes.bg/2025-01-07_2/112617678', 'https://homes.bg/2025-01-07_2/112617679']",51500.0,ЛЕВА,28 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.633134,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
