price_text,title,location,description,info_text,details_url,photos_text,contact_info,agency_name,agency_url,ref_no,total_offers,price_per_m2,search_url,scraped_at
199 990 €391 146.44 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","114 кв.м, 5-ти ет. от 6, Въведен в експлоатация 1998 г., 🏡 ОФЕРТА  13827 Агенция Estate Shop с удоволствие представя:  ✨ ЧЕТИРИСТАЕН АПАРТАМЕН ..., тел.: 0886193365","114 кв.м, 5-ти ет. от 6, Въведен в експлоатация 1998 г., 🏡 ОФЕРТА  13827 Агенция Estate Shop с удоволствие представя:  ✨ ЧЕТИРИСТАЕН АПАРТАМЕН ..., тел.: 0886193365",//www.imot.bg/obiava-1d176907606431539-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 14 снимки,0886193365,ЕСТЕЙТ ШОП,//estateshop22.imot.bg,1,0,1754.3,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.025936
205 000 €400 945.15 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","94 кв.м, 6-ти ет. от 8, 1970 - 1979 г., ЧЕТИРИСТАЕН ! КАМЕНИЦА 1 ! ТОП ЛОКАЦИЯ !  Представяме на Вашето внимание , четиристаен апартамент ,  ..., тел.: 0876606117","94 кв.м, 6-ти ет. от 8, 1970 - 1979 г., ЧЕТИРИСТАЕН ! КАМЕНИЦА 1 ! ТОП ЛОКАЦИЯ !  Представяме на Вашето внимание , четиристаен апартамент ,  ..., тел.: 0876606117",//www.imot.bg/obiava-1d173139585186738-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 7 снимки,0876606117,НЮ ХОУМ ЛИВИНГ ЕООД,//newhome20.imot.bg,1,0,2180.85,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.026880
224 400 €438 888.25 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","114 кв.м, 5-ти ет. от 6, 1998 г., (ОФЕРТА-8889) АКРОНА ИМОТИ 4-стаен апартамент за продажба в Пловдив, кв. Каменица 1   отличен семеен ..., тел.: 0897650416","114 кв.м, 5-ти ет. от 6, 1998 г., (ОФЕРТА-8889) АКРОНА ИМОТИ 4-стаен апартамент за продажба в Пловдив, кв. Каменица 1   отличен семеен ..., тел.: 0897650416",//www.imot.bg/obiava-1d175923556753962-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 10 снимки,0897650416,АКРОНА НЕДВИЖИМИ ИМОТИ,//acrona.imot.bg,1,0,1968.42,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.027810
279 900 €547 436.82 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","100 кв.м, 2-ри ет. от 6, Въведен в експлоатация 1970 - 1979 г., ТРИ СПАЛНИ!! ЦЕНТРАЛНА ЛОКАЦИЯ!! Представяме на Вашето внимание просторен четиристаен апартамент, ра ..., тел.: 0875363330","100 кв.м, 2-ри ет. от 6, Въведен в експлоатация 1970 - 1979 г., ТРИ СПАЛНИ!! ЦЕНТРАЛНА ЛОКАЦИЯ!! Представяме на Вашето внимание просторен четиристаен апартамент, ра ..., тел.: 0875363330",//www.imot.bg/obiava-1d175759827434557-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 17 снимки,0875363330,ХОУМ ТУ Ю,//home2u5.imot.bg,1,0,2799.0,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.028724
340 000 €664 982.20 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","110 кв.м, 2-ри ет. от 5, Въведен в експлоатация 1970 - 1979 г., ARCO REAL ESTATE продава просторен и светъл 4-стаен апартамент в Пловдив, кв. Каменица 1.   Ако иска ..., тел.: 0876208274","110 кв.м, 2-ри ет. от 5, Въведен в експлоатация 1970 - 1979 г., ARCO REAL ESTATE продава просторен и светъл 4-стаен апартамент в Пловдив, кв. Каменица 1.   Ако иска ..., тел.: 0876208274",//www.imot.bg/obiava-1d176518797670875-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 6 снимки,0876208274,АРКО РИЪЛ ЕСТЕЙТ ПЛОВДИВ,//arcoplovdiv.imot.bg,1,0,3090.91,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.029649
394 760 €772 083.45 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","198 кв.м, 7-ми ет. от 7, Въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933","198 кв.м, 7-ми ет. от 7, Въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933",//www.imot.bg/obiava-1d175455660148884-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 2 снимки,0896878933,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,1,0,1993.74,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.030584
394 760 €772 083.45 лв.,Продава 4-СТАЕН,"град Пловдив, Каменица 1","198 кв.м, 7-ми ет. от 7, Ще бъде въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933","198 кв.м, 7-ми ет. от 7, Ще бъде въведен в експлоатация 2025 г., УНИКАЛЕН МНОГОСТАЕН С ГОЛЯМА ТЕРАСА В БУТИКОВА СГРАДА!  📍многостаен апартамент с обща площ о ..., тел.: 0896878933",//www.imot.bg/obiava-1d176492263158055-prodava-chetiristaen-apartament-grad-plovdiv-kamenitsa-1,Повече детайлии 2 снимки,0896878933,ТРИВИУМ ЕСТЕЙТ,//trivium.imot.bg,1,0,1993.74,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.031516
250 329 €489 600.97 лв.,Продава 4-СТАЕН,"град Пловдив, Капана","106 кв.м, ул. Йоаким Груев 39А, 1-ви ет. от 5, Въведен в експлоатация, ЧСИ Людмила Мурджанова, рег.   819 на КЧСИ, район на действие ОС   Пловдив, е насрочил по ИД   20258 ..., тел.: 0889987299","106 кв.м, ул. Йоаким Груев 39А, 1-ви ет. от 5, Въведен в експлоатация, ЧСИ Людмила Мурджанова, рег.   819 на КЧСИ, район на действие ОС   Пловдив, е насрочил по ИД   20258 ..., тел.: 0889987299",//www.imot.bg/obiava-1d176762265323055-prodava-chetiristaen-apartament-grad-plovdiv-kapana-ul-yoakim-gruev-39a,Повече детайли,0889987299,БАКБ АД,//bacb.imot.bg,1,0,2361.59,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.032437
610 000 €1 193 056.30 лв.,Продава 4-СТАЕН,"град Пловдив, Капана","266 кв.м, 4-ти ет. от 5, Въведен в експлоатация 2015 г.,  Многостаен апартамент с 3 спални Квадратура266 кв.м Вид строителствоТухла Година на строителство201 ..., тел.: 0878201878","266 кв.м, 4-ти ет. от 5, Въведен в експлоатация 2015 г.,  Многостаен апартамент с 3 спални Квадратура266 кв.м Вид строителствоТухла Година на строителство201 ..., тел.: 0878201878",//www.imot.bg/obiava-1d174283958254942-prodava-chetiristaen-apartament-grad-plovdiv-kapana,Повече детайлии 11 снимки,0878201878,ДЕАКОМ,//deacom.imot.bg,1,0,2293.23,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.033366
196 000 €383 342.68 лв.,Продава 4-СТАЕН,"град Пловдив, Мараша","112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111","112 кв.м, Район Централен, 2-ри ет. от 4, Въведен в експлоатация, 🏠 ЕКСКЛУЗИВНО ОТ PRIME CONSULT!  Предлагаме четиристаен апартамент, заемащ цял етаж от къща, ..., тел.: 0887673111",//www.imot.bg/obiava-1d176277610765387-prodava-chetiristaen-apartament-grad-plovdiv-marasha-rayon-tsentralen,Повече детайлии 9 снимки,0887673111,ПРАЙМ КОНСУЛТ,//prime98.imot.bg,1,0,1750.0,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-02-01T06:16:11.034308
