id,type,url,title,location,description,price_value,price_currency,main_photo,photos,is_favorite,date_added,floor,price_per_square_meter,offer_type,property_type,agency,price,currency,city,neighborhood,contact_info,agency_url,details_url,num_photos,site,price_per_m2,ref_no,area
1536123,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-81m2-sofiya-oborishte/as1536123,"Двустаен, 81m²"," Оборище, София","Тухла, Необзаведен, ТЕЦ",249000.0,EUR,,"[HttpUrl('https://homes.bg/2023-12-12_2/107644547'), HttpUrl('https://homes.bg/2023-12-12_2/107644548'), HttpUrl('https://homes.bg/2023-12-12_2/107644542'), HttpUrl('https://homes.bg/2023-12-12_2/107644544'), HttpUrl('https://homes.bg/2023-12-12_2/107644545'), HttpUrl('https://homes.bg/2023-12-12_2/107644543'), HttpUrl('https://homes.bg/2023-12-12_2/107644546'), HttpUrl('https://homes.bg/2023-12-12_2/107644549')]",False,2025-01-09T06:02:31.396658,,"3,074 EUR/m²",продажба,PropertyType.UNKNOWN,,249000,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-81m2-sofiya-oborishte/as1536123,8,Site.HOMESBG,"3,074 EUR/m²",1536123,
1585653,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-93m2-sofiya-oborishte/as1585653,"Тристаен, 93m²"," Оборище, София","Тухла, Електричество",428000.0,EUR,,"[HttpUrl('https://homes.bg/2024-11-29_1/112248772'), HttpUrl('https://homes.bg/2024-11-29_1/112248773'), HttpUrl('https://homes.bg/2024-11-29_1/112248774'), HttpUrl('https://homes.bg/2024-11-29_1/112248775'), HttpUrl('https://homes.bg/2024-11-29_1/112248776'), HttpUrl('https://homes.bg/2024-11-29_1/112248777'), HttpUrl('https://homes.bg/2024-11-29_1/112248778'), HttpUrl('https://homes.bg/2024-11-29_1/112248779'), HttpUrl('https://homes.bg/2024-11-29_1/112248780'), HttpUrl('https://homes.bg/2024-11-29_1/112248781')]",False,2025-01-09T06:02:31.396658,,"4,602 EUR/m²",продажба,PropertyType.TRISTAEN,,428000,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-93m2-sofiya-oborishte/as1585653,10,Site.HOMESBG,"4,602 EUR/m²",1585653,
1568140,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-171m2-sofiya-oborishte/as1568140,"Четиристаен, 171m²"," Оборище, София","Тухла, Електричество",542850.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205088')],False,2025-01-09T06:02:31.396658,,"3,174 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,542850,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-171m2-sofiya-oborishte/as1568140,1,Site.HOMESBG,"3,174 EUR/m²",1568140,
1568145,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-199m2-sofiya-oborishte/as1568145,"Четиристаен, 199m²"," Оборище, София","Тухла, Електричество",450450.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205093')],False,2025-01-09T06:02:31.396658,,"2,263 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,450450,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-199m2-sofiya-oborishte/as1568145,1,Site.HOMESBG,"2,263 EUR/m²",1568145,
1568150,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1568150,"Двустаен, 62m²"," Оборище, София","Тухла, Електричество",173250.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205099')],False,2025-01-09T06:02:31.396658,,"2,794 EUR/m²",продажба,PropertyType.UNKNOWN,,173250,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1568150,1,Site.HOMESBG,"2,794 EUR/m²",1568150,
1567975,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-66m2-sofiya-oborishte/as1567975,"Двустаен, 66m²"," Оборище, София","Тухла, Електричество",164450.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205101')],False,2025-01-09T06:02:31.396658,,"2,491 EUR/m²",продажба,PropertyType.UNKNOWN,,164450,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-66m2-sofiya-oborishte/as1567975,1,Site.HOMESBG,"2,491 EUR/m²",1567975,
1567981,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-148m2-sofiya-oborishte/as1567981,"Тристаен, 148m²"," Оборище, София","Тухла, Електричество",346500.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205107')],False,2025-01-09T06:02:31.396658,,"2,341 EUR/m²",продажба,PropertyType.TRISTAEN,,346500,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-148m2-sofiya-oborishte/as1567981,1,Site.HOMESBG,"2,341 EUR/m²",1567981,
1568138,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-179m2-sofiya-oborishte/as1568138,"Четиристаен, 179m²"," Оборище, София","Тухла, Електричество",652575.0,EUR,,[HttpUrl('https://homes.bg/2024-09-12_2/111205085')],False,2025-01-09T06:02:31.396658,,"3,645 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,652575,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-179m2-sofiya-oborishte/as1568138,1,Site.HOMESBG,"3,645 EUR/m²",1568138,
1506050,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-80m2-sofiya-oborishte/as1506050,"Четиристаен, 80m²"," Оборище, София",Тухла,234900.0,EUR,,"[HttpUrl('https://homes.bg/2023-09-30_2/105052064'), HttpUrl('https://homes.bg/2023-09-30_2/105052065'), HttpUrl('https://homes.bg/2023-09-30_2/105052066'), HttpUrl('https://homes.bg/2023-09-30_2/105052067'), HttpUrl('https://homes.bg/2023-09-30_2/105052068'), HttpUrl('https://homes.bg/2023-09-30_2/105052069'), HttpUrl('https://homes.bg/2023-09-30_2/105052070'), HttpUrl('https://homes.bg/2023-09-30_2/105052071'), HttpUrl('https://homes.bg/2023-09-30_2/105052072'), HttpUrl('https://homes.bg/2023-09-30_2/105052073')]",False,2025-01-09T06:02:31.396658,,"2,936 EUR/m²",продажба,PropertyType.CHETIRISTAEN,,234900,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-80m2-sofiya-oborishte/as1506050,10,Site.HOMESBG,"2,936 EUR/m²",1506050,
1549893,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1549893,"Двустаен, 62m²"," Оборище, София",,173250.0,EUR,,"[HttpUrl('https://homes.bg/2024-11-13_2/112028304'), HttpUrl('https://homes.bg/2024-11-13_2/112028305'), HttpUrl('https://homes.bg/2024-11-13_2/112028306'), HttpUrl('https://homes.bg/2024-11-13_2/112028307')]",False,2025-01-09T06:02:31.396658,,"2,794 EUR/m²",продажба,PropertyType.UNKNOWN,,173250,EUR,Оборище,София,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1549893,4,Site.HOMESBG,"2,794 EUR/m²",1549893,
