id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,num_photos,neighborhoods,main_property_type
1606565,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-71m2-sofiya-zhk.-hipodruma/as1606565,вчера,"жк. Хиподрума, София","Двустаен, 71m²","Тухла, Обзаведен",1,"['https://homes.bg/2025-11-03_2/116284912', 'https://homes.bg/2025-11-03_2/116284913', 'https://homes.bg/2025-11-03_2/116284914', 'https://homes.bg/2025-11-03_2/116284915', 'https://homes.bg/2025-11-03_2/116284916', 'https://homes.bg/2025-11-03_2/116284917', 'https://homes.bg/2025-11-03_2/116284918', 'https://homes.bg/2025-11-03_2/116284919', 'https://homes.bg/2025-11-03_2/116284920', 'https://homes.bg/2025-11-03_2/116284921']",220000.0,EUR,"3,098 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.865874,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1545154,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-425m2-sofiya-zhk.-hipodruma/as1545154,вчера,"жк. Хиподрума, София","Многостаен, 425m²","Тухла, Обзаведен, ТЕЦ",1,['https://homes.bg/2025-11-03_2/116285015'],650000.0,EUR,"1,529 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-11-04 06:03:03.865888,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,1.0,['Хиподрума'],апартамент
1548236,as,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-131m2-sofiya-zhk.-hipodruma/as1548236,вчера,"жк. Хиподрума, София","Четиристаен, 131m²","Тухла, Необзаведен",1,['https://homes.bg/2025-11-03_2/116285032'],241667.0,EUR,"1,844 EUR/m²",,,False, продажба,PropertyType.CHETIRISTAEN,2025-11-04 06:03:03.865901,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,1.0,['Хиподрума'],апартамент
1656026,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-116m2-sofiya-zhk.-hipodruma/as1656026,вчера,"жк. Хиподрума, София","Тристаен, 116m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-10-23_1/116174536', 'https://homes.bg/2025-10-23_1/116174537', 'https://homes.bg/2025-10-23_1/116174538', 'https://homes.bg/2025-10-23_1/116174539', 'https://homes.bg/2025-10-23_1/116174540', 'https://homes.bg/2025-10-23_1/116174541', 'https://homes.bg/2025-10-23_1/116174542', 'https://homes.bg/2025-10-23_1/116174543', 'https://homes.bg/2025-10-23_1/116174544', 'https://homes.bg/2025-10-23_1/116174545']",260000.0,EUR,"2,241 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865919,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1638968,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1638968,вчера,"жк. Хиподрума, София","Двустаен, 60m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-07-18_2/114975110', 'https://homes.bg/2025-07-18_2/114975111', 'https://homes.bg/2025-07-18_2/114975112', 'https://homes.bg/2025-07-18_2/114975113', 'https://homes.bg/2025-07-18_2/114975114']",239000.0,EUR,"3,983 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.865934,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,5.0,['Хиподрума'],апартамент
1475768,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-92m2-sofiya-zhk.-hipodruma/as1475768,вчера,"жк. Хиподрума, София","Тристаен, 92m²","Необзаведен, ТЕЦ",1,"['https://homes.bg/2023-02-24_1/95474208', 'https://homes.bg/2023-02-24_1/95474210', 'https://homes.bg/2023-02-24_1/95474212', 'https://homes.bg/2023-02-24_1/95474214', 'https://homes.bg/2023-02-24_1/95474216', 'https://homes.bg/2023-02-24_1/95474217', 'https://homes.bg/2023-02-24_1/95474219', 'https://homes.bg/2023-02-24_1/95474221', 'https://homes.bg/2023-02-24_1/95474223', 'https://homes.bg/2023-02-24_1/95474225']",243000.0,EUR,"2,641 EUR/m²",,,False, продажба,PropertyType.TRISTAEN,2025-11-04 06:03:03.865951,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1657419,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-168m2-sofiya-zhk.-hipodruma/as1657419,,"жк. Хиподрума, София","Многостаен, 168m²","Тухла, Електричество",1,"['https://homes.bg/2025-10-31_2/116244682', 'https://homes.bg/2025-10-31_2/116244684', 'https://homes.bg/2025-10-31_2/116244686', 'https://homes.bg/2025-10-31_2/116244688', 'https://homes.bg/2025-10-31_2/116244689', 'https://homes.bg/2025-10-31_2/116244691', 'https://homes.bg/2025-10-31_2/116244692', 'https://homes.bg/2025-10-31_2/116244693', 'https://homes.bg/2025-10-31_2/116244694', 'https://homes.bg/2025-10-31_2/116244695']",454000.0,EUR,"2,702 EUR/m²",,,False, продажба,PropertyType.MNOGOSTAEN,2025-11-04 06:03:03.866002,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
1612259,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1612259,,"жк. Хиподрума, София","Двустаен, 60m²","Тухла, ТЕЦ",1,"['https://homes.bg/2025-09-17_2/115718762', 'https://homes.bg/2025-09-17_2/115718764', 'https://homes.bg/2025-09-17_2/115718766', 'https://homes.bg/2025-09-17_2/115718768', 'https://homes.bg/2025-09-17_2/115718770', 'https://homes.bg/2025-09-17_2/115718772', 'https://homes.bg/2025-09-17_2/115718774', 'https://homes.bg/2025-09-17_2/115718776', 'https://homes.bg/2025-09-17_2/115718778']",239900.0,EUR,"3,998 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.866038,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,9.0,['Хиподрума'],апартамент
1653971,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-73m2-sofiya-zhk.-hipodruma/as1653971,,"жк. Хиподрума, София","Двустаен, 73m²","Тухла, Полуобзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-14_1/116035357', 'https://homes.bg/2025-10-14_1/116035358', 'https://homes.bg/2025-10-14_1/116035359', 'https://homes.bg/2025-10-14_1/116035360', 'https://homes.bg/2025-10-14_1/116035361']",259900.0,EUR,"3,560 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.866062,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,5.0,['Хиподрума'],апартамент
1657182,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-78m2-sofiya-zhk.-hipodruma/as1657182,,"жк. Хиподрума, София","Двустаен, 78m²","Тухла, Необзаведен, ТЕЦ",1,"['https://homes.bg/2025-10-29_1/116221060', 'https://homes.bg/2025-10-29_1/116221063', 'https://homes.bg/2025-10-29_1/116221066', 'https://homes.bg/2025-10-29_1/116221061', 'https://homes.bg/2025-10-29_1/116221065', 'https://homes.bg/2025-10-29_1/116221062', 'https://homes.bg/2025-10-29_1/116221064', 'https://homes.bg/2025-10-29_1/116221059', 'https://homes.bg/2025-10-29_1/116221058', 'https://homes.bg/2025-10-29_1/116221067']",235000.0,EUR,"3,012 EUR/m²",,,False, продажба,PropertyType.DVUSTAEN,2025-11-04 06:03:03.866084,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=526,38,София,10.0,['Хиподрума'],апартамент
