title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,ref_no,num_photos,price_per_m2,total_offers,search_url,scraped_at
Продава четиристаен апартамент в Гоце Делчев с АКТ 16!!!,/prodava-chetiristaen-apartament-v-goce-delchev-s-akt-16-10337770,"Гоце Делчев, София",Цена:423 081 €(827 474.50 лв.),Многостаен апартамент в Гоце Делчев,146 кв.м,Тухла,2025 г.,2 етаж,"С АКТ 16!!! 

ОПЦИЯ ЗА ЧЕТИРИСТАЕН С ХУБАВА ГЛЕДКА! 

ИРИДА НЕДВИЖИМИ ИМОТИ продава тристаен апартамент в бутикова сграда с изключително висококачествено строителство в близост до Мол България, ма..",ИРИДА НЕДВИЖИМИ ИМОТИ,,0,2897.82,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.123941
"Продаваме тристаен апартамент, Оборище",/prodavame-tristaen-apartament-oborishte-10327443,"Оборище, София",Цена:400 000 €(782 332 лв.),Тристаен апартамент в Оборище,120 кв.м,Тухла,2004 г.,4 етаж,"Съвременно обзаведен в сравнително нова сграда в близост до кръстовището на ул. Оборище и ул. Черковна. 

Конструктивните дадености позволяват обособяване на кухня с трапезария и отделна дневна зона..",Еколит,,0,3333.33,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.128277
360 - обиколка! Огромен имот на 3 нива! Магазин/Офис/Лекарски кабинет/Дентален център/Занималня! Тух..,/360-obikolka-ogromen-imot-na-3-niva-magazin-ofis-lekarski-kabinet-dentalen-centar-zanimalnya-tuh-9847553,"Борово, София",Цена:449 990 €(880 103.94 лв.),Многостаен апартамент в Борово,250 кв.м,Тухла,1997 г.,2 етаж,"360 - градусов тур с подробни размери на помещенията точно ТУК: https://my.matterport.com/show/?m=NqpC7MCCUmF
Борово: 250 кв.м. на 3 нива с гараж/паркомясто и ТЕЦ! Само 1800€/кв.м - сграда с Акт 16! 
..",Нов Дом 1,,0,1799.96,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.132663
360 - обиколка! Огромен имот на 3 нива! Магазин/Офис/Лекарски кабинет/Дентален център/Занималня!! Ту..,/360-obikolka-ogromen-imot-na-3-niva-magazin-ofis-lekarski-kabinet-dentalen-centar-zanimalnya-tu-10263224,"Борово, София",Цена:449 990 €(880 103.94 лв.),Мезонет,250 кв.м,Тухла,1999 г.,2 етаж,"360 - градусов тур с подробни размери на помещенията точно ТУК: https://my.matterport.com/show/?m=NqpC7MCCUmF
Борово: 250 кв.м. на 3 нива с гараж/паркомясто и ТЕЦ! Само 1800€/кв.м - сграда с Акт 16! 
..",Нов Дом 1,,0,1799.96,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.137052
360 - обиколка! Огромен имот на 3 нива! Магазин/Офис/Лекарски кабинет/Дентален център/Занималня! Тух..,/360-obikolka-ogromen-imot-na-3-niva-magazin-ofis-lekarski-kabinet-dentalen-centar-zanimalnya-tuh-10264281,"Борово, София",Цена:449 990 €(880 103.94 лв.),Многостаен апартамент в Борово,250 кв.м,Тухла,1999 г.,2 етаж,"360 - градусов тур с подробни размери на помещенията точно ТУК: https://my.matterport.com/show/?m=NqpC7MCCUmF

﻿Борово: 250 кв.м. на 3 нива с гараж/паркомясто и ТЕЦ! Само 1800€/кв.м - сграда с Акт 16!..",Нов Дом 1,,0,1799.96,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.141413
"Многостаен, София, Оборище, 150 кв.м., 751200 €",/mnogostaen-sofiya-oborishte-150-kv-m-751200-10301121,"Оборище, София",Цена:751 200 €(1 469 219.50 лв.),Многостаен апартамент в Оборище,150 кв.м,Тухла,,11 етаж,"Апартаментът се състои от 3 спални- към две от спалните има прилежаща баня с WC; дневна с трапезария и кухненски бокс -42,00м², 3 бани с WC; входно антре със складово помещение и място за голям гардер..",Адрес недвижими имоти,,0,5008.0,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.145901
Дизайнерски тристаен апартамент в ”Cграда на годината 2008” - ”Жаклин”,/dizainerski-tristaen-apartament-v-cgrada-na-godinata-2008-jaklin-10289800,"Борово, София",Цена:558 000 €(1 091 353.14 лв.),Тристаен апартамент в Борово,148 кв.м,Тухла,,3 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-121230 

Представяме впечатляващ имот за истински..",SUPRIMMO,,0,3770.27,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.150000
Продава тристаен апартамент в Стрелбище,/prodava-tristaen-apartament-v-strelbishte-10279898,"Стрелбище, София",Цена:430 000 €(841 006.90 лв.),Тристаен апартамент в Стрелбище,122 кв.м,Тухла,2025 г.,5 етаж,"Билдинг Бокс предлага за продажба тристаен апартамент находящ се на 5-ти надпартерен етаж от общо 8 етажа в квартал Стрелбище. 

Жилището е с обща площ от 122.98 кв.м. състоящ се от: Дневна, кухненски..",БИЛДИНГ БОКС АД,,0,3524.59,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.154521
Билдинг Бокс предлага за продажба двустаен апартамент находящ се на 4-ти надпартерен етаж от общо 8 ..,/bilding-boks-predlaga-za-prodajba-dvustaen-apartament-nahodyasht-se-na-4-ti-nadparteren-etaj-ot-obshto-8-10275688,"Стрелбище, София",Цена:280 000 €(547 632.40 лв.),Двустаен апартамент в Стрелбище,82 кв.м,Тухла,2025 г.,4 етаж,"Жилището е с обща площ от 82.06 кв.м. състоящ се от: Дневна с кухненски бокс и трапезария, спалн1, баня с тоалетна, склад и тераса. 
Етажната височина е 3,10м. 

ПРЕДИМСТВА: 
Локацията е в близост до ..",БИЛДИНГ БОКС АД,,0,3414.63,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.159019
Билдинг Бокс предлага за продажба двустаен апартамент находящ се на 6-ти надпартерен етаж от общо 8 ..,/bilding-boks-predlaga-za-prodajba-dvustaen-apartament-nahodyasht-se-na-6-ti-nadparteren-etaj-ot-obshto-8-10275689,"Стрелбище, София",Цена:320 000 €(625 865.60 лв.),Двустаен апартамент в Стрелбище,92 кв.м,Тухла,2025 г.,6 етаж,"Жилището е с обща площ от 92.93 кв.м. състоящ се от: Дневна, кухненски бокс, спалня, баня с тоалетна, склад и тераса.. 
Етажната височина е 3,10м. 

ПРЕДИМСТВА: 
Локацията е в близост до паркове и дет..",БИЛДИНГ БОКС АД,,0,3478.26,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.163356
Продава тристаен апартамент в Стрелбище,/prodava-tristaen-apartament-v-strelbishte-10275691,"Стрелбище, София",Цена:480 000 €(938 798.40 лв.),Тристаен апартамент в Стрелбище,140 кв.м,Тухла,2025 г.,2 етаж,"Билдинг Бокс предлага за продажба тристаен апартамент находящ се на 2-ри надпартерен етаж от общо 8 етажа в квартал Стрелбище. 

Жилището е с обща площ от 140,35 кв.м. състоящ се от: Дневна, кухненски..",БИЛДИНГ БОКС АД,,0,3428.57,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.167675
"3-стаен, София, Суха река, 111 кв.м., 222400 €",/3-staen-sofiya-suha-reka-111-kv-m-222400-10253034,"Сухата река, София",Цена:222 400 €(434 976.60 лв.),Тристаен апартамент в Сухата река,111 кв.м,Тухла,,6 етаж,"Тристаен апартамент в новострояща се сграда “А” в кв. ”Суха река”. Просторен и светъл апартамент с площ 111.20кв.м, сътоящ се от дневна с кухненски бокс, две спалня, баня с тоалетна, складово помещени..",Адрес недвижими имоти,,0,2003.6,0,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-26T06:04:35.172020
