title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,search_url,scraped_at
"Тристаен апартамент, Дървеница",/tristaen-apartament-darvenica-10864493,"Дървеница, София",Цена:210 000 €(410 724.30 лв.),Тристаен апартамент в Дървеница,80 кв.м,ЕПК/ПК,1990 г.,13 етаж,"АРТЕМИС ЕСТЕЙТ ви представя тристаен апартамент в ж.к. Дървеница. 

Жилището разполага с площ от 80 кв.м./ входно антре, всекидневна с кухненски бокс, две спални помещения и баня с тоалетна. Намира ..",АРТЕМИС ЕСТЕЙТ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.431364
Продава 2-СТАЕН до Стадион Герена,/prodava-2-staen-do-stadion-gerena-10609917,"Сухата река, София",Цена:179 000 €(350 093.57 лв.),Двустаен апартамент в Сухата река,74 кв.м,ЕПК/ПК,1973 г.,2 етаж,"ПРОСТОРЕН, НЕПРЕХОДЕН, ВЪТРЕШЕН, ТОПЪЛ апартамент в ЕПК блок от 70-те г. с отличен вход, на етаж 2 от 14, асансьор; в близост до Стадион Герена, бъдеща метростанция, детска градина, детска площадка; Р..",”АЛДЕС ИМОТИ” ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.433898
Продава 3-СТАЕН до Мартинели на бул. България,/prodava-3-staen-do-martineli-na-bul-balgariya-10845561,"Борово, София",Цена:275 000 €(537 853.25 лв.),Тристаен апартамент в Борово,132 кв.м,Тухла,2004 г.,2 етаж,"ИНТЕРЕСЕН, ПЕРСПЕКТИВЕН, ТИХ, ВЪТРЕШЕН ап. в тухлена кооперация от 2004г.; в близост до бул. България, МАРТИНЕЛИ, БИЛЛА, МОЛ; отличен вход с портиер; етаж 1НМ от 9; асансьор; РАЗПРЕДЕЛЕНИЕ: 109,75 кв...",”АЛДЕС ИМОТИ” ЕООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.436453
Тристаен обзаведен апартамент в кв. Изгрев до МЕТРОСТАНЦИЯ,/tristaen-obzaveden-apartament-v-kv-izgrev-do-metrostanciya-10864298,"Изгрев, София",Цена:248 000 €(485 045.84 лв.),Тристаен апартамент в Изгрев,65 кв.м,Тухла,1969 г.,2 етаж,"Продаваме тристаен апартамент в кв. Изгрев разположен на 2-ри етаж от 4 в сграда с добре поддържани и чисти общи части. 
Жилището е с южно изложение, което го прави изключително топло, светло и иконом..",АЯКС ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.439060
Двустаен апартамент в кв. Изток № 97636,/dvustaen-apartament-v-kv-iztok-97636-10864263,"Изток, София",Цена:135 000 €(264 037.05 лв.),Двустаен апартамент в Изток,28 кв.м,Тухла,1970 г.,1 етаж,"Компания ’ЕКС’ представя на Вашето внимание двустаен апартамент в жк. Изток. 

МЕСТОПОЛОЖЕНИЕ: На метри от метростанция, спирка на градски транспорт, магазини от всякакъв тип и всичко най- необходим..",X NVD,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.441630
Модерно Обзаведен Двустаен Апартамент,/moderno-obzaveden-dvustaen-apartament-10847558,"Дианабад, София",Цена:220 000 €(430 282.60 лв.),Двустаен апартамент в Дианабад,64 кв.м,Тухла,2011 г.,6 етаж,"Светъл, стилен и напълно обзаведен двустаен апартамент, разположен на 6-ти жилищен етаж в поддържана сграда с отлични общи части. Имотът е модерно оборудван и готов за незабавно нанасяне - без нужда о..",Дом Имоти Бургас,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.444156
"продавам двустаен, обзаведен в кв. Редута, до парк Гео милев",/prodavam-dvustaen-obzaveden-v-kv-reduta-do-park-geo-milev-10617687,"Редута, София",Цена:140 000 €(273 816.20 лв.),Двустаен апартамент в Редута,52 кв.м,Тухла,2006 г.,4 етаж,"- намира се на улица Георги минчев
- тухла 2008г. с АКТ16, етаж 4/4 без Асансьор 
- в продажната цена е включена и комисионната 
- обявата, снимките и описанието са реални/актуални 
- по статут се..",вчера,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.446495
"Тристаен Апартамент в Медицинска академия, София",/tristaen-apartament-v-medicinska-akademiya-sofiya-10858716,"Медицинска академия, София",Цена:320 000 €(625 865.60 лв.),Тристаен апартамент в Медицинска академия,97 кв.м,Тухла,1969 г.,,"Реф. 012804

3D Виртуална разходка из апартамента - https://my.matterport.com/show/?m=2M8jvxYHY2e
*Имате възможност да разгледате имота и без обзавеждането. 

Агенция за недвижими имоти BAS Prope..",BASProperties,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.448938
Тристаен апартамент в луксозна сграда до бул. ”Г. М. Димитров”,/tristaen-apartament-v-luksozna-sgrada-do-bul-g-m-dimitrov-10863696,"Дианабад, София",,Вид на имота: Тристаен апартамент в Дианабад,214.39 кв.м,Тухла,,8 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-129697 

Представяме панорамен тристаен апартамен..",СТОУНХАРД ПРЕМИЪР,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.450628
"Публична продан от ЧСИ на Тристаен апартамент в гр. София ж.к. Люлин, бл.883, вх.3, ет.9",/publichna-prodan-ot-chsi-na-tristaen-apartament-v-gr-sofiya-j-k-lyulin-bl-883-vh-3-et-9-10863536,"Изток, София",,Вид на имота: Тристаен апартамент в Изток,79.53 кв.м,Панел,,9 етаж,"Публична продан от частен съдебен изпълнител 

СРОК: от 26.01.2026 до 26.02.2026

Адрес: ж.к. Люлин, бл.883, вх.3, ет.9

¼ /ЕДНА ЧЕТВЪРТ ИДЕАЛНА ЧАСТ/ ОТ САМОСТОЯТЕЛЕН ОБЕКТ В СГРАДА С ИДЕНТИФИКАТОР 6..",вчера,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.452092
"Многостаен, София, Бели брези, 175 кв.м., 410000 €",/mnogostaen-sofiya-beli-brezi-175-kv-m-410000-10707588,"Белите Брези, София",Цена:410 000 €(801 890.30 лв.),Многостаен апартамент в Белите Брези,175 кв.м,Тухла,,2 етаж,"БЕЗ КОМИСИОН ЗА КУПУВАЧА! 

Просторен и функционален четиристаен апартамент в Белите брези с обща площ 175 кв.м. и застроена площ 157 кв.м. 
Разпределение: просторна дневна с кухненски бокс и трапе..",Имотека АД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.454424
