title,price_and_currency,location,details_url,property_type,area,agency,floor,price_per_m2,description,is_top_ad,num_photos,date_added,search_url,total_offers
"продава Тристаен апартамент, 172 м2",667 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5860784/?sid=iKI3oo&page=13,продава Тристаен апартамент, 172 м2,ЕРА Голд,Етаж:,Цена на /м2/:3 878EUR,"ЕРА Голд има удоволствието да Ви представи тристаен апартамент в бутикова сграда с АКТ 16 до резиденция ""Лозенец"".Разпределение: преддверие, просторна дневна с трапезария и кухня,...",False,13,2025-01-11 16:56:36.150062,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 167 м2",667 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5900249/?sid=iKI3oo&page=13,продава Тристаен апартамент, 167 м2,ЮНИК ЕСТЕЙТС,Етаж: 3 от 7,Цена на /м2/:3 994EUR,"Unique Estate има удоволствието да Ви представи елегантен, нов апартамент за продажба в един от най-предпочитаните комплекси в кв. Лозенец.Интериорът е завършен по...",False,11,2025-01-11 16:56:36.150566,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 258 м2",674 300EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/chetiristaen/5856873/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 258 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 7 от 11,Цена на /м2/:2 614EUR,"БЕЗ КОМИСИОН !АКТ 16 декември 2023г!ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен четиристаен апартамент в нова 44-метрова модерна жилищна сграда, която...",False,11,2025-01-11 16:56:36.151070,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Многостаен апартамент, 270 м2",675 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/mnogostaen/5854937/?sid=iKI3oo&page=13,продава Многостаен апартамент, 270 м2,AvaSolis,Етаж: 5 от 6,Цена на /м2/:2 500EUR,"Авасолис има удоволствието да Ви предложи за продажба този уникален многостаен мезонет намиращ се в престижния квартал Лозенец в близост до хотел Маринела, който предлага панорамни гледки към...",False,28,2025-01-11 16:56:36.151558,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Тристаен апартамент, 189 м2",680 148EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/6012385/?sid=iKI3oo&page=13,продава Тристаен апартамент, 189 м2,Galardo Real Estate,Етаж: 7 от 8,Цена на /м2/:3 599EUR,"Galardo Real Estate представя апартамент в представителна сграда със стилна фасада.Сградата е в един от най-предпочитаните квартали, кв.Лозенец, в близост до метростанция- Джеймс Баучер.",False,13,2025-01-11 16:56:36.152051,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Мезонет, 488 м2",700 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/hladilnika/mezonet/5620132/?sid=iKI3oo&page=13,продава Мезонет, 488 м2,Luximmo Finest Estates,Етаж:  от 8,Цена на /м2/:1 434EUR,"Представяме за продажба пентхаус на две нива с просторни тераси и прекрасни гледки към града и Витоша, разположен в комуникативен район, в близост до болница ''Вита'', мол Paradise Center,...",False,4,2025-01-11 16:56:36.152544,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 235 м2",705 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/chetiristaen/6003166/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 235 м2,ЕКС НВД,Етаж: 18 от 18,Цена на /м2/:3 000EUR,БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание четиристаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски...,False,1,2025-01-11 16:56:36.153007,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Многостаен апартамент, 235 м2",705 000EUR,"София, Хладилника",https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/mnogostaen/6004984/?sid=iKI3oo&page=13,продава Многостаен апартамент, 235 м2,АДРЕС Недвижими имоти АД,Етаж: 18 от 18,Цена на /м2/:3 000EUR,"Многостаен апартамент с площ от 235 кв.м. ,състоящ се от антре, голяма  дневна  с кухненски бокс, три спални, три бани с тоалетни и тераса .Този...",False,4,2025-01-11 16:56:36.153459,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 253 м2",709 000EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/chetiristaen/5782150/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 253 м2,ЮНИК ЕСТЕЙТС,Етаж: 2 от 6,Цена на /м2/:2 802EUR,"Unique Estates има удоволствието да ви представи, най-новия си ексклузивен проект в един от най-предпочитаните райони в София, в близост до Семинарията в кв....",False,7,2025-01-11 16:56:36.153953,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
"продава Четиристаен апартамент, 253 м2",709 020EUR,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/lozenec/chetiristaen/5856723/?sid=iKI3oo&page=13,продава Четиристаен апартамент, 253 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 2 от 6,Цена на /м2/:2 802EUR,БЕЗ КОМИСИОН ОТ КУПУВАЧА!ПЪРВА ПЛОЧА!АКТ 16 юни 2025г !ТОП ЛОКАЦИЯ !ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен четиристаен апартамент в...,False,2,2025-01-11 16:56:36.154463,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,444
