title,description,city,neighborhood,price_value,price_currency,price_per_m2,details_url,num_photos,time,offer_type,ref_no,search_url,scraped_at
"Земеделска земя, 4300m²",Нива,София,Банкя,"73,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-4300m2-sofiya-bankya/la34916,2,вчера,,34916,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147436
"Земеделска земя, 1603m²","Категория 4, Ливада",Перник,с.Люлин,"10,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1603m2-pernik-s.ljulin/la35536,1,вчера,,35536,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:03.147441
"Земеделска земя, 670m²","Категория 5, Друго",Благоевград,Широк Център,"23,500",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-670m2-blagoevgrad-shirok-centyr/la20678,1,,,20678,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521912
"Земеделска земя, 1999m²","Категория 9, Нива",Благоевград,с.Бистрица,"18,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-1999m2-blagoevgrad-s.bistrica/la24268,1,,,24268,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521926
"Земеделска земя, 9334m²","Категория 6, Нива",Симитли,с.Черниче,"65,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-9334m2-simitli-s.cherniche/la23563,6,,,23563,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521929
"Земеделска земя, 1009m²","Категория 6, Ливада",Симитли,с.Черниче,"8,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-1009m2-simitli-s.cherniche/la23558,7,,,23558,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521932
"Земеделска земя, 4231m²","Категория 9, Лозе",Симитли,с.Железница,"17,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-4231m2-simitli-s.zheleznica/la21920,1,,,21920,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521934
"Земеделска земя, 3940m²","Категория 5, Нива",Koчериново,с.Бараково,"120,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-3940m2-kocherinovo-s.barakovo/la21195,5,,,21195,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521937
"Земеделска земя, 3154m²","Категория 7, Нива",Koчериново,с.Стоб,"63,080",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-3154m2-kocherinovo-s.stob/la22156,2,,,22156,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521940
"Земеделска земя, 701m²","Категория 4, Нива",Благоевград,Първа Промишлена Зона,"29,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-701m2-blagoevgrad-pyrva-promishlena-zona/la24492,3,,,24492,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521942
"Земеделска земя, 562m²","Категория 5, Ливада",Koчериново,гр.Кочериново,"7,670",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-562m2-kocherinovo-gr.kocherinovo/la22212,6,,,22212,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521945
"Земеделска земя, 595m²","Категория 7, Ливада",Благоевград,с.Логодаж,"4,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-595m2-blagoevgrad-s.logodazh/la22697,1,,,22697,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521947
"Земеделска земя, 3000m²","Категория 5, Нива",Благоевград,с.Зелендол,"18,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-blagoevgrad-s.zelendol/la22776,2,,,22776,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521949
"Земеделска земя, 3375m²",,Пловдив,с.Цалапица,"26,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-3375m2-plovdiv-s.calapica/la34898,1,,,34898,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521952
"Земеделска земя, 1999m²",,Пловдив,с.Красново,"19,990",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1999m2-plovdiv-s.krasnovo/la34408,1,,,34408,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521954
"Земеделска земя, 10000m²",,Пловдив,с.Калековец,"23,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-10000m2-plovdiv-s.kalekovec/la35069,1,,,35069,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521957
"Земеделска земя, 3149m²",Нива,Пловдив,с.Брестник,"47,235",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-3149m2-plovdiv-s.brestnik/la35722,1,,,35722,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521959
"Земеделска земя, 1018m²",Нива,Пловдив,с.Брестник,"50,900",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1018m2-plovdiv-s.brestnik/la35725,1,,,35725,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521961
"Земеделска земя, 2899m²",Нива,Пловдив,кв. Беломорски,"231,920",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-2899m2-plovdiv-kv.-belomorski/la35720,1,,,35720,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521964
"Земеделска земя, 1772m²",Нива,Пловдив,с.Брестник,"70,880",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1772m2-plovdiv-s.brestnik/la35726,1,,,35726,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521966
"Земеделска земя, 4770m²",Нива,Пловдив,с.Браниполе,"166,950",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-4770m2-plovdiv-s.branipole/la35723,1,,,35723,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521969
"Земеделска земя, 6294m²",Нива,Пловдив,с.Брестник,"94,410",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-6294m2-plovdiv-s.brestnik/la35721,1,,,35721,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521971
"Земеделска земя, 1131m²",Нива,Пловдив,с.Брестник,"50,895",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1131m2-plovdiv-s.brestnik/la35724,1,,,35724,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521973
"Земеделска земя, 6500m²","Категория 8, Нива",Велико Търново,с.Леденик,"65,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-6500m2-veliko-tyrnovo-s.ledenik/la24149,0,,,24149,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521976
"Земеделска земя, 761m²","Категория 4, Лозе",Плевен,жк. Сторгозия,"10,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-761m2-pleven-zhk.-storgoziya/la35344,2,,,35344,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521979
"Земеделска земя, 6000m²","Категория 3, Овощна градина",Родопи,с.Брестовица,"25,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-6000m2-rodopi-s.brestovica/la35622,4,,,35622,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521982
"Земеделска земя, 6841m²","Категория 5, Нива",Варна,с.Шкорпиловци,"684,100",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-6841m2-varna-s.shkorpilovci/la35719,3,,,35719,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521985
"Земеделска земя, 5000m²","Категория 4, Нива",Пловдив,с.Златитрап,"95,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-5000m2-plovdiv-s.zlatitrap/la34514,1,,,34514,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521987
"Земеделска земя, 700m²","Категория 7, Лозе",Благоевград,с.Дъбрава,"14,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-700m2-blagoevgrad-s.dybrava/la23864,3,,,23864,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521989
"Земеделска земя, 300m²",Категория 6,Благоевград,жк. Еленово,"16,500",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-300m2-blagoevgrad-zhk.-elenovo/la35142,1,,,35142,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521992
"Земеделска земя, 1000m²","Категория 6, Нива",Благоевград,жк. Еленово,"55,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-1000m2-blagoevgrad-zhk.-elenovo/la35141,1,,,35141,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521994
"Земеделска земя, 700m²","Категория 6, Нива",Благоевград,жк. Еленово,"38,500",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-700m2-blagoevgrad-zhk.-elenovo/la35143,1,,,35143,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521996
"Земеделска земя, 2001m²","Категория 7, Ливада",Симитли,с.Черниче,"40,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-2001m2-simitli-s.cherniche/la22875,4,,,22875,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.521999
"Земеделска земя, 1000m²","Категория 6, Нива",Благоевград,с.Логодаж,"8,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-1000m2-blagoevgrad-s.logodazh/la21840,6,,,21840,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522001
"Земеделска земя, 8400m²","Категория 4, Нива",Марица,с.Скутаре,"46,000",ЛЕВА,,/offer/zemya-za-prodazhba/zemedelska-zemya-8400m2-marica-s.skutare/la35718,0,,,35718,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522003
"Земеделска земя, 10000m²","Категория 4, Нива",Родопи,с.Ягодово,"100,000",EUR,,/offer/zemya-za-prodazhba/zemedelska-zemya-10000m2-rodopi-s.yagodovo/la19979,2,,,19979,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2026-01-29T13:25:06.522006
