title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
Продава 3-СТАЕН,363000,EUR,Продава,тристаен,град София,Оборище,"166 кв.м, ул. Васил Априлов, 7-ми ет. от 8, Тухла 2025 г., Тристаен апартамент с възможност за четиристеан . състои от , хол, кухня, две спални,два балкона,две ..., тел.: 0878503118",0878503118,,https://avigea.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c134372826306419&slink=bi18s2&f1=11,,2025-01-02 14:13:12.524171,imot.bg,,,1c134372826306419,
Продава 3-СТАЕН,363424,EUR,Продава,тристаен,град София,Оборище,"112 кв.м, 5-ти ет. от 6, ТЕЦ, Тухла 2025 г., Тристаен апартамент, разположен на 5 етаж със застроена площ 94.82 кв.м. ,с общите части 111.96 кв.м ..., тел.: 0884 932363",0884 932363,,https://iskar.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171413586340166&slink=bi18s2&f1=11,,2025-01-02 14:13:12.524471,imot.bg,,,1c171413586340166,
Продава 3-СТАЕН,369500,EUR,Продава,тристаен,град София,Оборище,"156 кв.м, 7-ми ет. от 14, ТЕЦ, Тухла 2025 г., New Estates има удоволствието да ви представи Teatralna Park Residence - един от най-престижните жил ..., тел.: 0883780026",0883780026,,https://newestates.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168534788914163&slink=bi18s2&f1=11,,2025-01-02 14:13:12.524806,imot.bg,,,1c168534788914163,
Продава 3-СТАЕН,329175,EUR,Продава,тристаен,град София,Оборище,"122 кв.м, 4-ти ет. от 14, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме ви затворен комплекс в престижния квартал Оборище ..., тел.: 0988154584",0988154584,,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170472965349280&slink=bi18s2&f1=11,15.0,2025-01-02 14:13:12.525096,imot.bg,,,1c170472965349280,
Продава 3-СТАЕН,395010,EUR,Продава,тристаен,град София,Оборище,"139 кв.м, 5-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658239035037&slink=bi18s2&f1=11,4.0,2025-01-02 14:13:12.525378,imot.bg,,,1c168658239035037,
Продава 3-СТАЕН,395010,EUR,Продава,тристаен,град София,Оборище,"153 кв.м, 4-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент с обща площ от 153.46 кв.м. и застроена площ от 122.9 ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169346806969673&slink=bi18s2&f1=11,8.0,2025-01-02 14:13:12.525654,imot.bg,,,1c169346806969673,
Продава 3-СТАЕН,401940,EUR,Продава,тристаен,град София,Оборище,"125 кв.м, 8-ми ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658246152763&slink=bi18s2&f1=11,4.0,2025-01-02 14:13:12.525934,imot.bg,,,1c168658246152763,
Продава 3-СТАЕН,401940,EUR,Продава,тристаен,град София,Оборище,"134 кв.м, 6-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658238605325&slink=bi18s2&f1=11,4.0,2025-01-02 14:13:12.526260,imot.bg,,,1c168658238605325,
Продава 3-СТАЕН,401940,EUR,Продава,тристаен,град София,Оборище,"142 кв.м, 5-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658240431496&slink=bi18s2&f1=11,4.0,2025-01-02 14:13:12.526546,imot.bg,,,1c168658240431496,
Продава 3-СТАЕН,340725,EUR,Продава,тристаен,град София,Оборище,"144 кв.м, 7-ми ет. от 14, Газ, Тухла 2024 г., БЕЗ КОМИСИОН ОТ КУПУВАЧА!!!  ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев тристаен апартамент в новоизгражд ..., тел.: 0885229006",0885229006,,https://irida.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171556951482522&slink=bi18s2&f1=11,7.0,2025-01-02 14:13:12.526866,imot.bg,,,1c171556951482522,
