price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
342 500 €,Тристаен апартамент,"гр. София / кв. Зона Б-18 / Софийска област, България",Площ:137 м²Спални:2Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-132720-nov-tristaen-apartament-v-butikova-sgrada-v-tsentralnata-stara-chast-na-sofiya/,SOF-132720,продава,Suprimmo,2,1462,2500.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.527227
475 000 €,Тристаен апартамент,"гр. София / кв. Драгалевци / Софийска област, България",Площ:133.13 м²Спални:2Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-132645-izklyuchitelen-tristaen-apartament-za-prodajba-v-kvdragalevtsi/,Kbs 132645,продава,Suprimmo,3,1462,3567.94,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.528005
585 000 €,Четиристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:163 м²Спални:3Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-132652-apartament-s-tri-spalni-i-neskrivaema-planinska-gledka-v-hitoviya-kompleks-ruhouse-2/,AP 132652,продава,Suprimmo,3,1462,3588.96,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.528905
175 000 €,Едностаен апартамент,"гр. София / кв. Симеоново / Софийска област, България",Площ:54 м²Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-132676-chisto-nov-obzaveden-apartament-v-nay-jivopisnata-chast-na-kv-simeonovo/,AP 132676,продава,Suprimmo,3,1462,3240.74,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.529790
595 000 €,Тристаен апартамент,"гр. София / кв. Бояна / Софийска област, България",Площ:136 м²Спални:2Етаж:1Етажност на сградата:6,,https://www.suprimmo.bg/imot-132678-luksozen-tristaen-apartament-v-kompleks-edelvays-3-v-kv-boyana/,SOF-132678,продава,Suprimmo,3,1462,4375.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.530575
268 000 €,Тристаен апартамент,"гр. София / кв. Левски / Софийска област, България",Площ:90 м²Спални:2Етаж:2Етажност на сградата:8,,https://www.suprimmo.bg/imot-132684-tristaen-apartament-s-novo-obzavejdane-do-metrostantsiya/,SOF-132684,продава,Suprimmo,3,1462,2977.78,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.531327
Цена по запитване,Многостаен апартамент,"гр. София / кв. Докторски паметник / Софийска област, България",Площ:170 м²Спални:3Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-123907-etaj-ot-aristokratichna-kashta-v-kv-doktorski-pametnik/,SOF-123907,продава,Suprimmo,3,1462,,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:29.532092
253 500 €,Тристаен апартамент,"гр. София / кв. Зона Б-19 / Софийска област, България",Площ:97.55 м²Спални:2Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-132499-tristaen-apartament-v-nova-sgrada-v-zona-b-19-do-ul-pozitano/,SOF-132499,продава,Suprimmo,3,1462,2598.67,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.994554
350 000 €,Четиристаен апартамент,"гр. София / кв. Зона Б-19 / Софийска област, България",Площ:107.10 м²Спални:3Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-132502-chetiristaen-apartament-v-moderna-nova-sgrada-do-ul-pozitano/,SOF-132502,продава,Suprimmo,3,1462,3267.97,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.995331
169 000 €,Двустаен апартамент(В процес на строителство),"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",Площ:69.92 м²Спални:1Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-132474-dvustaen-apartament-s-yujno-izlojenie-v-kv-manastirski-livadi--iztok/,SOF-132474,продава,Suprimmo,3,1462,2417.05,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.996142
250 000 €,Тристаен апартамент,"гр. София / кв. Люлин 2 / Софийска област, България",Площ:100 м²Спални:2Етаж:12Етажност на сградата:16,,https://www.suprimmo.bg/imot-132476-panoramen-tristaen-apartament-v-sgrada-s-akt-16-v-lyulin-2/,SOF 132476,продава,Suprimmo,3,1462,2500.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.996900
290 000 €,Двустаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:72 м²Спални:1Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-132412-eleganten-dvustaen-apartament-v-edin-ot-nay-prestijnite-novi-kompleksi-v-stolitsata-sohome-residential-park/,Kbs 132412,продава,Suprimmo,3,1462,4027.78,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.997712
370 000 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:80 м²Спални:2Етаж:6Етажност на сградата:6,,https://www.suprimmo.bg/imot-132436-tristaen-apartament-za-prodajba-v-tsentara-podhodyasht-za-airbnb/,Kbs 132436,продава,Suprimmo,3,1462,4625.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.998475
130 000 €,Двустаен апартамент,"гр. София / кв. Свобода / Софийска област, България",Площ:69.10 м²Спални:1Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-132437-dvustaen-apartament-s-otdelna-kuhnya-blizo-do-severen-park/,SOF-132437,продава,Suprimmo,3,1462,1881.33,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:32.999261
370 000 €,Тристаен апартамент,"гр. София / кв. Хаджи Димитър / Софийска област, България",Площ:132.02 м²Спални:2Етаж:9Етажност на сградата:10,,https://www.suprimmo.bg/imot-132451-posleden-apartament-s-nezakrivaema-panorama-kam-vitosha-do-metrostantsiya/,SOF-132451,продава,Suprimmo,3,1462,2802.61,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:33.000063
269 000 €,Тристаен апартамент,"гр. София / кв. Бояна / Софийска област, България",Площ:105 м²Спални:2Етаж:2Етажност на сградата:3,,https://www.suprimmo.bg/imot-132384-tristaen-apartament-v-kv-boyana-na-tiho-myasto-blizo-do-glaven-pat/,Kbs 132384,продава,Suprimmo,3,1462,2561.9,https://www.suprimmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-01T18:05:33.000794
