price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
63 998 €125 169.21 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Елин Пелин, област София","Нива, кат. 3, 1.55 дка, Имоти Сердика 1 продава земеделска земя в гр. Елин Пелин, обл. София. Имотът е на втора линия от гла ..., тел.: 0878485556",//www.imot.bg/obiava-1s169357980954252-prodava-zemedelska-zemya-oblast-sofiya-gr-elin-pelin,Повече детайлии 4 снимки,0878485556,СЕРДИКА 1 НЕДВИЖИМИ ИМОТИ,//serdika1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.428873
73 336 €143 432.75 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Елин Пелин, област София","Нива, кат. 3, 0.89 дка, Продава се ПОЗЕМЛЕН ИМОТ в югозападния край на гр. Елин Пелин, в близост до Баумит и Бранков Комерс; ..., тел.: 0899931948 АЛДЕС",//www.imot.bg/obiava-1s174230279642094-prodava-zemedelska-zemya-oblast-sofiya-gr-elin-pelin,Повече детайлии 3 снимки,0899931948 АЛДЕС,АЛДЕС ИМОТИ,//aldes.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.429715
117 990 €230 768.38 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Елин Пелин, област София","Ливада, кат. 3, 1310 дка, Продава се земеделска земя категория 3, с кад. ид.номер: 27303.44.252 в землището на гр. Елин Пелин, ..., тел.: 0886242513",//www.imot.bg/obiava-1s175380037435018-prodava-zemedelska-zemya-oblast-sofiya-gr-elin-pelin,Повече детайли,0886242513,КЛАУД ХОУМС,//cloudhomes.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.430562
20 451.68 €40 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Ихтиман, област София","Нива, кат. 1, 2.2 дка, Продава се земеделска земя до Магистрала Тракия ---- Имотът се намира в землището на с.Веринско с но ..., тел.: 0876239940",//www.imot.bg/obiava-1s158789833221637-prodava-zemedelska-zemya-oblast-sofiya-gr-ihtiman,Повече детайлии 8 снимки,0876239940,,,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.431435
23 000 €44 984.09 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Нови Искър, област София","Нива, кат. 3, 2 дка, Земеделска земя-нива с площ от 2300кв.м. от 3-та категория. Поземленият имот се намира в землището н ..., тел.: 0898414272",//www.imot.bg/obiava-1s160138438486620-prodava-zemedelska-zemya-oblast-sofiya-gr-novi-iskar,Повече детайли,0898414272,ЕКОЛИТ ИМОТИ,//ekolit.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.432268
75 000 €146 687.25 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Нови Искър, област София","Нива, кат. 3, 2.5 дка, Враняка, Реф.   011888  Агенция за недвижими имоти BAS Properties предлага за продажба земеделска земя в гр.  ..., тел.: 0899 818 212",//www.imot.bg/obiava-1s174315157936923-prodava-zemedelska-zemya-oblast-sofiya-gr-novi-iskar-vranyaka,Повече детайлии 2 снимки,0899 818 212,БАС ПРОПЪРТИС,//basproperties22.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.433086
11 500 €22 492.05 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 9 дка, Поземлен имот, област София (столица), община Столична, гр. София, район Витоша,м. ГЛОЖЕ, площ 9 000 ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372417577275-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.433927
15 500 €30 315.37 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 3 дка, Поземлен имот, област София (столица),община Столична, гр. София, район Овча купел, площ 3024 кв.м ( ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173373402291455-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.434766
18 400 €35 987.27 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 3 дка, Поземлен имот, област София (столица),община Столична, гр. София, район Овча купел, площ 2971кв.м (2 ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173373545093489-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.435610
33 300 €65 129.14 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 7 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, м. К ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372132756451-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайли,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.436451
36 900 €72 170.13 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 10 дка, Поземлен имот, област София (столица), община Столична, гр. София, район Витоша,в.з. ЧЕРНИЯ КОС, пло ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372326692187-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.437297
39 200 €76 668.54 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 31 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, кв.К ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372288656279-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.438132
43 000 €84 100.69 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Нива, кат. 2, 5 дка, Суходол, Земеделски имот, нива от кат. 2  в местност Крушовец. Равен терен с правоъгълна форма и приблизителн ..., тел.: 024683103",//www.imot.bg/obiava-1s154929064516942-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya-suhodol,Повече детайли,024683103,ЕКОЛИТ ИМОТИ,//ekolit.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.438980
72 350 €141 504.30 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 14 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, м. К ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372186377923-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.439827
75 600 €147 860.75 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 15 дка, Поземлен имот, област София (столица), община Столична, в землището на гр. София, район Витоша, м. С ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372073305366-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.440676
96 600 €188 933.18 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 27 дка, Поземлен имот, област София (столица), община Столична, гр. София, район Витоша,площ 26 983 кв.м (26 ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372383898998-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.441522
102 900 €201 254.91 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 80 дка, Поземлен имот, област София (столица), община Столична, гр. София, район Витоша,м. КЛИСУРИЦА,до с.Вл ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173372449704986-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 3 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.442375
153 550 €300 317.70 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. София, област София","Гори и храсти в земеделска земя, кат. 1, 120 дка, Три съседни поземлени имота, област София (столица), община Столична, в землището на гр. София, райо ..., тел.: 02/910 10 10",//www.imot.bg/obiava-1s173373044641192-prodava-zemedelska-zemya-oblast-sofiya-gr-sofiya,Повече детайлии 2 снимки,02/910 10 10,БОКАР - НЕДВИЖИМИ ИМОТИ,//bokar1.imot.bg,https://www.imot.bg/obiavi/prodazhbi/zemedelska-zemya?land_category=1~2~3~,2026-01-21T06:06:28.443213
