price_text,title,location,location_info,description,details_url,contact_info,ref_no,total_offers,time,num_photos,agency_name,agency_url,price_per_m2,search_url,scraped_at
"26 320 €51 477,45 лв.Не се начислява ДДС",Продава  Земеделска земя,"гр. Благоевград, област Благоевград","гр. Благоевград, област Благоевград
17 дка",,https://www.imoti.com/obiava/88515467/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,0899942911,88515467,380,10:23 11.07.2022,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.169994
"200 лв.102,26 €",Продава  Земеделска земя,"гр. Гоце Делчев, област Благоевград","гр. Гоце Делчев, област Благоевград
2 дка","Нива, кат. 5, , ARRAY(0x805570468)",https://www.imoti.com/obiava/16640149/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,0895953343,16640149,380,08:38 12.06.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.170497
"360 000 лв.184 065,08 €",Продава  Земеделска земя,"гр. Гоце Делчев, област Благоевград","гр. Гоце Делчев, област Благоевград
8 дка","Нива, кат. 4, , Атрактивен имот на главен път Гоце Делчев - Гърция.",https://www.imoti.com/obiava/16337696/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,0894766790,16337696,380,10:31 30.03.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.170975
"330 000 €645 423,90 лв.",Продава  Земеделска земя,"гр. Гоце Делчев, област Благоевград","гр. Гоце Делчев, област Благоевград
9.5 дка","Нива, кат. 6, , Земеделска земя, на 1ва линия по пътя Гоце Делчев - Драма, при с. Копривлен. 9.5дка. Има лице на два ...",https://www.imoti.com/obiava/94312322/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,0878783256,94312322,380,13:52 21.07.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.171474
200 000 €391 166 лв.,Продава  Земеделска земя,"гр. Кресна, област Благоевград","гр. Кресна, област Благоевград
11346 дка",,https://www.imoti.com/obiava/99777254/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-kresna,0878703816,99777254,380,15:40 15.11.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.171956
"3 000 €5 867,49 лв.",Продава  Земеделска земя,"гр. Петрич, област Благоевград","гр. Петрич, област Благоевград
2 дка",,https://www.imoti.com/obiava/88719339/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-petrich,0892974844,88719339,380,13:17 29.09.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.172458
"40 000 €78 233,20 лв.",Продава  Земеделска земя,"гр. Разлог, област Благоевград","гр. Разлог, област Благоевград
18 дка","Нива, кат. 5, , Имот с площ от 18 декара в местността 'Гробо', землище на Разлог. Имотът е атрактивен и е подходящ з ...",https://www.imoti.com/obiava/68715163/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-razlog,0895670590,68715163,380,18:02 25.01.2020,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.172939
"111 111 лв.56 810,15 €",Продава  Земеделска земя,"с. Баня, област Благоевград","с. Баня, област Благоевград
1200 дка",,https://www.imoti.com/obiava/66476702/prodava-zemedelska-zemya-oblast-blagoevgrad-s-banya,0888770170,66476702,380,08:59 04.03.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:45.173435
"3 000 €5 867,49 лв.",Продава  Земеделска земя,"с. Беласица, област Благоевград","с. Беласица, област Благоевград
1.4 дка",,https://www.imoti.com/obiava/20786653/prodava-zemedelska-zemya-oblast-blagoevgrad-s-belasitsa,0892974844,20786653,380,13:10 29.09.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.724065
"65 000 лв.33 233,97 €",Продава  Земеделска земя,"с. Гърмен, област Благоевград","с. Гърмен, област Благоевград
13 дка","Нива, кат. 5, , Нива с площ от 13,5 декара в землището на село Дебрен, община Гърмен.
Нивата е поливна, 5-та категор ...",https://www.imoti.com/obiava/41513664/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,0895670590,41513664,380,14:41 20.01.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.724595
Цена при запитване,Продава  Земеделска земя,"с. Гърмен, област Благоевград","с. Гърмен, област Благоевград
18 дка","Нива, кат. 5, , Продават се 11 земеделски имота с обща площ oт 17,717 декара в землището на с.Крушево, общ. Гърмен.  ...",https://www.imoti.com/obiava/61398516/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,0895670590,61398516,380,10:51 19.12.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.725084
300 000 €586 749 лв.,Продава  Земеделска земя,"с. Дъбница, област Благоевград","с. Дъбница, област Благоевград
99 дка","Нива, кат. 8, , Земеделски имот с площ от 99 декара в землището село Дъбница. Масивът граничи с регулация на селото. ...",https://www.imoti.com/obiava/47362069/prodava-zemedelska-zemya-oblast-blagoevgrad-s-dabnitsa,0895670590,47362069,380,15:45 06.02.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.725597
"11 250 €22 003,09 лв.",Продава  Земеделска земя,"с. Илинден, област Благоевград","с. Илинден, област Благоевград
25 дка","Нива, кат. 5, , Петнадесет ниви в землище на село Илинден с обща площ от 25 декара. Не всички ниви са непосредствено ...",https://www.imoti.com/obiava/97009907/prodava-zemedelska-zemya-oblast-blagoevgrad-s-ilinden,0895670590,97009907,380,17:24 28.07.2022,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.726086
"4 000 €7 823,32 лв.Не се начислява ДДС",Продава  Земеделска земя,"с. Ласкарево, област Благоевград","с. Ласкарево, област Благоевград
3 дка",,https://www.imoti.com/obiava/19985195/prodava-zemedelska-zemya-oblast-blagoevgrad-s-laskarevo,0888 02 44 88,19985195,380,16:12 28.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.726629
"6 000 €11 734,98 лв.Не се начислява ДДС",Продава  Земеделска земя,"с. Ласкарево, област Благоевград","с. Ласкарево, област Благоевград
4 дка",,https://www.imoti.com/obiava/84345878/prodava-zemedelska-zemya-oblast-blagoevgrad-s-laskarevo,0888 02 44 88,84345878,380,16:11 28.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.727155
Цена при запитване,Продава  Земеделска земя,"с. Огняново, област Благоевград","с. Огняново, област Благоевград
5 дка","Нива, кат. 6, , Ниви в землище на село Огняново, община Гърмен:
- 0,810 дка. в местността 'Падинето';
- 1 дка. в мес ...",https://www.imoti.com/obiava/78378428/prodava-zemedelska-zemya-oblast-blagoevgrad-s-ognyanovo,0895670590,78378428,380,11:38 28.08.2018,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.727654
"83 004 €162 341,71 лв.",Продава  Земеделска земя,"гр. Ахтопол, област Бургас","гр. Ахтопол, област Бургас
6.917 дка","Нива, кат. 7, с Аренден договор до 31.08.2014 г. и рента 300 лв./год., , Земеделска земя в гр. Ахтопол намираща се 2 километра преди река Велека в дясно.",https://www.imoti.com/obiava/95753689/prodava-zemedelska-zemya-oblast-burgas-gr-ahtopol,0888181889,95753689,380,11:58 08.04.2021,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.728152
108 000 000 €211 229 640 лв.,Продава  Земеделска земя,"гр. Ахтопол, област Бургас","гр. Ахтопол, област Бургас
9000 дка","Нива, кат. 4, , Имоти Янев продава имот със статут на  нива , на първа линия море в землището на град Ахтопол. Имотъ ...",https://www.imoti.com/obiava/38070648/prodava-zemedelska-zemya-oblast-burgas-gr-ahtopol,0888310436,38070648,380,14:33 27.06.2025,1,Имоти,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.728655
"123 000 €240 567,09 лв.",Продава  Земеделска земя,"гр. Бургас, област Бургас","гр. Бургас, област Бургас
10 дка","Нива, кат. 3, , Продава парцел за ранчо или строителство на къщи на 500м. от в.з.Мин.Бани. С плодородна земя(3кат.)  ...",https://www.imoti.com/obiava/84206771/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,0889891223,84206771,380,09:47 06.11.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.729145
160 720 €314 341 лв.,Продава  Земеделска земя,"гр. Бургас, област Бургас","гр. Бургас, област Бургас
4 дка","Нива, кат. 3, , Предлагаме за продажба имот в землището на кв. Сарафово, м. Соката, с правилна форма и с лице на асф ...",https://www.imoti.com/obiava/99739419/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,0899370285,99739419,380,14:28 17.03.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.729651
"175 365 €342 984,13 лв.",Продава  Земеделска земя,"гр. Бургас, област Бургас","гр. Бургас, област Бургас
3.9 дка","Нива, кат. 3, , Продава се имот отреден за промишлено строителство (складове и безвредни производства) на главния пъ ...",https://www.imoti.com/obiava/56077413/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,0888847300,56077413,380,11:07 01.08.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.730143
"900 000 лв.460 162,69 €Не се начислява ДДС",Продава  Земеделска земя,"гр. Бургас, област Бургас","гр. Бургас, област Бургас
300 дка","Нива, кат. 6, , ОМЕГА продава парцели около язовир, в близост до Минерални бани. Имотите са с обща площ от 300дка, н ...",https://www.imoti.com/obiava/12175326/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,0887515546,12175326,380,09:46 06.01.2026,1,Имоти,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.730680
"11 900 €23 274,38 лв.Не се начислява ДДС",Продава  Земеделска земя,"гр. Каблешково, област Бургас","гр. Каблешково, област Бургас
6 дка","Нива, кат. 3, , Нива 3-та категория в землището на Каблешково, местност Симеонова могила, с идентификатор - 35033.10 ...",https://www.imoti.com/obiava/39830183/prodava-zemedelska-zemya-oblast-burgas-gr-kableshkovo,0889797870,39830183,380,21:49 31.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.731203
"63 150 €123 510,66 лв.",Продава  Земеделска земя,"гр. Каблешково, област Бургас","гр. Каблешково, област Бургас
6.315 дка","Нива, кат. 3, с Аренден договор до 01.10.2025 г. и рента 400 лв./год., , ARRAY(0x805777690)",https://www.imoti.com/obiava/66105251/prodava-zemedelska-zemya-oblast-burgas-gr-kableshkovo,0888544670,66105251,380,13:11 18.01.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.731733
"15 000 €29 337,45 лв.",Продава  Земеделска земя,"гр. Несебър, област Бургас","гр. Несебър, област Бургас
1.07 дка","Нива, кат. 4, , На вашето внимание, представяме уникален поземлен имот, с невероятна панорама и местоположение. Прод ...",https://www.imoti.com/obiava/93520908/prodava-zemedelska-zemya-oblast-burgas-gr-nesebar,0892974946,93520908,380,13:26 29.09.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.732241
"135 000 €264 037,05 лв.",Продава  Земеделска земя,"гр. Несебър, област Бургас","гр. Несебър, област Бургас
31 дка","Нива, кат. 4, , Продава се земеделска земя в землището на с. Оризаре, общ. Несебър с кадастрални идентификационни но ...",https://www.imoti.com/obiava/48435286/prodava-zemedelska-zemya-oblast-burgas-gr-nesebar,0886334224,48435286,380,08:39 24.04.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.732751
"7 000 €13 690,81 лв.",Продава  Земеделска земя,"гр. Обзор, област Бургас","гр. Обзор, област Бургас
1.06 дка","Нива, кат. 7, , продавам 1060 кв м идеални части от земеделска земя/част от ПИ с размер от 10599 кв,м,/ ид. 53045.53 ...",https://www.imoti.com/obiava/14232163/prodava-zemedelska-zemya-oblast-burgas-gr-obzor,0882219084,14232163,380,13:04 05.03.2023,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.733261
"99 000 €193 627,17 лв.",Продава  Земеделска земя,"гр. Созопол, област Бургас","гр. Созопол, област Бургас
1.8 дка","Нива, кат. 1, , Земеделска земя с възможност за смяна на статута на УПИВода и ток в непосредствена близост до имотаР ...",https://www.imoti.com/obiava/62523887/prodava-zemedelska-zemya-oblast-burgas-gr-sozopol,0888283908,62523887,380,17:40 13.06.2022,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:46.733759
100 000 €195 583 лв.,Продава  Земеделска земя,"гр. Царево, област Бургас","гр. Царево, област Бургас
1.75 дка","Нива, кат. 3, , Собственик продава 1750 м2 атрактивна земеделска земя на главен път между с. Лозенец и с. Велика. Им ...",https://www.imoti.com/obiava/11495159/prodava-zemedelska-zemya-oblast-burgas-gr-tsarevo,0888149200,11495159,380,10:50 19.06.2024,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.283777
"2 104 560 €4 116 161,58 лв.Цената е с включено ДДС",Продава  Земеделска земя,"гр. Царево, област Бургас","гр. Царево, област Бургас
5846 дка","Нива, кат. 4, , Без комисион! Предлагаме Ви имот на първа линия море в местността  СК Фонд Боруна, квартал  Василико ...",https://www.imoti.com/obiava/64692385/prodava-zemedelska-zemya-oblast-burgas-gr-tsarevo,0888310436,64692385,380,18:12 09.09.2025,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.284336
"1 000 €1 955,83 лв.Не се начислява ДДС",Продава  Земеделска земя,"гр. Черноморец, област Бургас","гр. Черноморец, област Бургас
1 дка","Нива, кат. 5, , Изкупува земеделска земя в землището на град Черноморец,село Равадиново, село Атия и град Созопол. Ц ...",https://www.imoti.com/obiava/73628188/prodava-zemedelska-zemya-oblast-burgas-gr-chernomorets,0878657547,73628188,380,23:45 22.01.2026,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.284866
"24 000 €46 939,92 лв.",Продава  Земеделска земя,"гр. Черноморец, област Бургас","гр. Черноморец, област Бургас
0.4 дка","Нива, кат. 4, , Представяме Ви земеделска земя за продажба в местността Външна чешма до гр.Черноморец. Имотът е с пл ...",https://www.imoti.com/obiava/44338106/prodava-zemedelska-zemya-oblast-burgas-gr-chernomorets,0897402395,44338106,380,14:06 днес,1,,,,https://www.imoti.com/prodazhbi/zemedelski-zemi?ztype=1,2026-02-02T18:13:48.285366
