price_text,title,location,description,details_url,num_photos,agency,floor,price_per_m2,area,search_url,scraped_at
129 500€253 280BGN,"продаваДвустаен апартамент,70 м2","Пловдив, Въстанически","Оферта 1-6714, С акт 16. Предлагаме Ви комфортен апартамент в нова луксозна сграда. На тиха улица  с бърз достъп до главни пътни артерии. На близко разстояние от търговска зона в квартала, училище...",/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6166472/?sid=gRy1fA&page=1,13,продава,Етаж: 4 от 7,Цена на /м2/:1 850EUR/3 618.29BGN,70 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.846330
142 560€278 823BGN,"продаваДвустаен апартамент,72 м2","Пловдив, Съдийски","ОФЕРТА 10747Открийте своя апартамент, съчетаващ модерна визия, висок стандарт и истински комфорт!Жилищната сграда е проектирана да бъде олицетворение на мечтания дом - с внимание...",/bg/obiava/prodava--v-stroej/plovdiv/sydijski/dvustaen/6182130/?sid=gRy1fA&page=1,1,продава,Етаж: 2 от 6,Цена на /м2/:1 980EUR/3 872.54BGN,72 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.847072
144 999€283 593BGN,"продаваДвустаен апартамент,68 м2","Пловдив, Кършияка","ОФЕРТА 10804ДВУСТАЕН! НАПЪЛНО ОБЗАВЕДЕН! АКТ 16! ИЗЛОЖЕНИЕ: ЗАПАД!Предлагаме Ви за продажба светъл и функционален двустаен апартамент, разположен в нова, луксозна сграда с Акт 16!...",/bg/obiava/prodava/plovdiv/kyrshijaka/dvustaen/6185369/?sid=gRy1fA&page=1,7,продава,Етаж: 4 от 4,Цена на /м2/:2 132EUR/4 170.49BGN,68 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.847804
144 999€283 593BGN,"продаваДвустаен апартамент,76 м2","Пловдив, Кючук Париж","ОФЕРТА 10805ДВУСТАЕН! НАПЪЛНО ОБЗАВЕДЕН! АКТ 16! ИЗЛОЖЕНИЕ: ЮГ!Предлагаме Ви за продажба светъл и просторен двустаен апартамент, разположен в нова, луксозна сграда с Акт 16! Имотът...",/bg/obiava/prodava/plovdiv/kichuk-parij/dvustaen/6185373/?sid=gRy1fA&page=1,3,продава,Етаж: 10 от 10,Цена на /м2/:1 908EUR/3 731.49BGN,76 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.848544
148 000€289 463BGN,"продаваДвустаен апартамент,71 м2","Пловдив, Южен",МАЛКА СГРАДА !!! СРЕДЕН ЕТАЖ !!! ОБЗАВЕДЕН !!!Представяме на Вашето внимание двустаен апартамент в района на Южен. Жилището е чисто ново и има следното функционално разпределение: входно...,/bg/obiava/prodava/plovdiv/ujen/dvustaen/6197585/?sid=gRy1fA&page=1,8,продава,Етаж: 3 от 4,Цена на /м2/:2 085EUR/4 076.94BGN,71 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.849300
166 000€324 668BGN,"продаваЧетиристаен апартамент,144 м2","Пловдив, Беломорски","Оферта 1-6666, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни, 3-стайни и 4-стайни апартаменти. Ниско етажно строителство....",/bg/obiava/prodava--v-stroej/plovdiv/belomorski/chetiristaen/6164733/?sid=gRy1fA&page=1,14,продава,Етаж: 3 от 5,Цена на /м2/:1 153EUR/2 254.64BGN,144 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.850016
167 794€328 177BGN,"продаваТристаен апартамент,122 м2","Пловдив, Южен","Просторен тристаен апартамент с елегантна дневна и отлично разпределение!Представяме Ви стилен и функционален тристаен апартамент, проектиран с внимание към комфорта, светлината и...",/bg/obiava/prodava/plovdiv/ujen/tristaen/6193596/?sid=gRy1fA&page=1,2,продава,Етаж: 5 от 10,Цена на /м2/:1 375EUR/2 689.97BGN,122 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.850802
177 700€347 551BGN,"продаваДвустаен апартамент,86 м2","Пловдив, Каменица 1","ОФЕРТА 10746ДВУСТАЕН! НОВА СГРАДА С АКТ16!Предлагаме ви светъл апартамент в модерна сграда, завършена с Акт 16 през 2024 г.Апартаментът се състои от просторен хол с...",/bg/obiava/prodava/plovdiv/kamenica-1/dvustaen/6182133/?sid=gRy1fA&page=1,12,продава,Етаж: 4 от 6,Цена на /м2/:2 066EUR/4 041.29BGN,86 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.851541
184 140€360 147BGN,"продаваТристаен апартамент,93 м2","Пловдив, Съдийски","ОФЕРТА 10748Открийте своя нов тристаен апартамент, съчетаващ модерна визия, висок стандарт и истински комфорт!Жилищната сграда е проектирана да бъде олицетворение на мечтания дом -...",/bg/obiava/prodava--v-stroej/plovdiv/sydijski/tristaen/6182123/?sid=gRy1fA&page=1,1,продава,Етаж: 2 от 6,Цена на /м2/:1 980EUR/3 872.54BGN,93 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.852261
229 990€449 821BGN,"продаваТристаен апартамент,109 м2","Пловдив, Широк Център","ТРИСТАЕН !!! ТОП ЦЕНТЪР !!! ТУХЛА !!!Представяме на Вашето внимание просторен и светъл апартамент, разположен в централната част на града, в непосредствена близост до Водната палата....",/bg/obiava/prodava/plovdiv/plovdiv-shirok-centyr/tristaen/6086803/?sid=gRy1fA&page=1,10,продава,Етаж: 1 от 5,Цена на /м2/:2 110EUR/4 126.80BGN,109 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.853050
349 600€683 758BGN,"продаваЧетиристаен апартамент,184 м2","Пловдив, Кършияка","ОФЕРТА 10840ЧЕТИРИСТАЕН АПАРТАМЕНТ в кв. Кършияка - СГРАДА С АКТ16!Предлагаме Ви светло и просторно жилище, разположено в кв. Кършияка, в непосредствена близост до хотел „Санкт...",/bg/obiava/prodava/plovdiv/kyrshijaka/chetiristaen/6202620/?sid=gRy1fA&page=1,12,продава,Етаж: 5 от 6,Цена на /м2/:1 900EUR/3 716.08BGN,184 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.853782
599 000€1 171 542BGN,"продаваМногостаен апартамент,277 м2","Пловдив, Христо Смирненски","МНОГОСТАЕН ЛУКС!!! МОЛ - ПЛОВДИВ!!!Първи жилищен етаж Самостоятелен частен вход 4 спални 3 бани Две самостоятелни тераси Разделен на два самостоятелни апартаментаПредлагаме Ви,...",/bg/obiava/prodava/plovdiv/smirnenski/mnogostaen/6181486/?sid=gRy1fA&page=1,16,продава,Етаж: 1 от 5,Цена на /м2/:2 162EUR/4 229.39BGN,277 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.854569
1 500€2 934BGN,"продаваМезонет,200 м2","Пловдив, Център",,/bg/obiava/prodava/plovdiv/plovdiv-centyr/mezonet/6102690/?sid=gRy1fA&page=1,15,продава,Етаж: 6 от 7,Цена на /м2/:8EUR/14.67BGN,200 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.855222
12 750€24 937BGN,"продаваТристаен апартамент,98 м2","Пловдив, Коматевски възел","Компания  Х  представя на Вашето внимание тристаен апартамент на Коматевския възел.МЕСТОПОЛОЖЕНИЕ: Възлова локация в града! След отварянето на пътят Модър-Царевец, връзката между...",/bg/obiava/prodava/plovdiv/komatevski-vyzel/tristaen/6046704/?sid=gRy1fA&page=1,7,продава,Етаж: 1 от 4,Цена на /м2/:130EUR/254.46BGN,98 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.855913
42 297€82 726BGN,"продаваДвустаен апартамент,61 м2","Пловдив, Остромила","Компания ‘X’ представя на Вашето внимание двустаен апартамент в кв.Остромила.МЕСТОПОЛОЖЕНИЕ: В близост до магазини за хранителни стоки, спирка на градски транспорт, основни пътни...",/bg/obiava/prodava/plovdiv/ostromila/dvustaen/5777705/?sid=gRy1fA&page=1,1,продава,Етаж: 5 от 6,Цена на /м2/:693EUR/1 356.16BGN,61 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.856594
42 317€82 765BGN,"продаваДвустаен апартамент,61 м2","Пловдив, Остромила","Компания ‘X’ представя на Вашето внимание двустаен апартамент в кв.Остромила.МЕСТОПОЛОЖЕНИЕ: В близост до магазини за хранителни стоки, спирка на градски транспорт, основни пътни...",/bg/obiava/prodava/plovdiv/ostromila/dvustaen/5777082/?sid=gRy1fA&page=1,1,продава,Етаж: 3 от 6,Цена на /м2/:694EUR/1 356.80BGN,61 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.857269
42 352€82 833BGN,"продаваДвустаен апартамент,61 м2","Пловдив, Остромила","Компания ‘X’ представя на Вашето внимание двустаен апартамент в кв.Остромила.МЕСТОПОЛОЖЕНИЕ: В близост до магазини за хранителни стоки, спирка на градски транспорт, основни пътни...",/bg/obiava/prodava/plovdiv/ostromila/dvustaen/5777538/?sid=gRy1fA&page=1,1,продава,Етаж: 5 от 6,Цена на /м2/:694EUR/1 357.92BGN,61 м2,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-01-25T18:44:09.857955
