price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
850 €,Двустаен апартамент,"гр. София / кв. Витоша / Софийска област, България",Площ:100 м²Спални:1Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137114-prostoren-i-svetal-mezonet-pod-naem-v-kv-vitosha/,Kbs 137114,наем,Suprimmo,3,361,8.5,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:28.607705
1 400 €,Четиристаен апартамент,"гр. София / кв. Изток / Софийска област, България",Площ:250 м²Спални:3Етаж:3Етажност на сградата:5,,https://www.suprimmo.bg/imot-137137-chetiristaen-apartament-pod-naem-blizo-do-metrostantsiya-jolio-kyuri/,SOF-137137,наем,Suprimmo,3,361,5.6,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.540124
860 €,Двустаен апартамент,"гр. София / кв. Изгрев / Софийска област, България",Площ:91 м²Спални:1Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-78343-prostoren-i-svetal-apartament-do-borisovata-gradina/,STO 78343,продава,Suprimmo,3,361,9.45,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.541155
1 800 €,Тристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:150 м²Спални:2Етаж:8Етажност на сградата:24,,https://www.suprimmo.bg/imot-137055-prostoren-nov-tristaen-apartament-pod-naem-v-smart-tower-do-paradise-mall/,SOF-137055,наем,Suprimmo,3,361,12.0,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.542153
1 350 €,Тристаен апартамент,"гр. София / кв. Симеоново / Софийска област, България",Площ:135 м²Спални:2Етаж:партерЕтажност на сградата:5,,https://www.suprimmo.bg/imot-137056-novo-jishte-v-zatoren-kopleks-v-kvsimeonovo/,Sve-137056,продава,Suprimmo,3,361,10.0,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.543189
750 €,Двустаен апартамент,"гр. София / кв. Малинова долина / Софийска област, България",Площ:55.19 м²Спални:1Етаж:7Етажност на сградата:8,,https://www.suprimmo.bg/imot-137061-dvustaen-apartament-pod-naem-v-comfort-residence-simeonovsko/,SOF-137061,наем,Suprimmo,3,361,13.59,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.544125
1 500 €,Мезонет,"гр. София / кв. Лозенец / Софийска област, България",Площ:123 м²Спални:3Етаж:3Етажност на сградата:3,,https://www.suprimmo.bg/imot-137062-mezonet-s-tri-spalni-na-top-lokatsiya-v-kv-lozenets-do-bul-sveti-naum/,SOF-137062,продава,Suprimmo,3,361,12.2,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.545055
700 €,Двустаен апартамент,"гр. София / кв. м-т Детски град / Софийска област, България",Площ:74 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137065-chisto-nov-moderen-dvustaen-apartament-pod-naem-v-oasis-residence/,SOF-137065,наем,Suprimmo,3,361,9.46,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.546024
1 700 €,Тристаен апартамент,"гр. София / кв. Оборище / Софийска област, България",Площ:125 м²Спални:2Етаж:3Етажност на сградата:4,,https://www.suprimmo.bg/imot-137069-novoobzaveden-tristaen-apartament-pod-naem-v-kv-oborishte/,SOF-137069,наем,Suprimmo,3,361,13.6,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.546942
900 €,Двустаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:65 м²Спални:1Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137070-nov-moderen-dvustaen-apartament-do-paradise-center-v-kv-krastova-vada/,SOF-137070,продава,Suprimmo,3,361,13.85,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.547951
1 050 €,Тристаен апартамент,"гр. София / кв. Малинова долина / Софийска област, България",Площ:75 м²Спални:2Етаж:8Етажност на сградата:9,,https://www.suprimmo.bg/imot-137086-tristaen-apartament-pod-naem-v-okinawa-boutique-residence-s-parkomyasto/,SOF-137086,наем,Suprimmo,3,361,14.0,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.549053
850 €,Двустаен апартамент,"гр. София / кв. Малинова долина / Софийска област, България",Площ:60 м²Спални:1Етаж:7Етажност на сградата:9,,https://www.suprimmo.bg/imot-137089-dvustaen-apartament-pod-naem-v-okinawa-boutique-residence-s-parkomyasto/,SOF - 137089,наем,Suprimmo,3,361,14.17,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.550084
3 000 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",Площ:157 м²Спални:2Етаж:12Етажност на сградата:16,,https://www.suprimmo.bg/imot-130959-luksozen-tristaen-apartament-pod-naem-v-emblematichna-sgrada-na-bul-balgariya/,SOF-130959,наем,Suprimmo,3,361,19.11,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.551059
1 050 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:89 м²Спални:1Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-137115-prostoren-dvustaen-apartament-v-sartseto-na-kv-lozenets/,Kbs 137115,продава,Suprimmo,3,361,11.8,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-24T06:05:31.552010
