price_text,title,location,area_text,floor,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
900 €,Двустаен апартамент,гр. София / кв. Кръстова вада Софийска област / България,80 м,3,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-31583-dvustaen-apartament-pod-naem-v-sofiya.html,31583,наем,Luximmo,0,0,11.25,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.356805
1600 €,Тристаен апартамент,гр. София / кв. Манастирски ливади - Запад Софийска област / България,122 м,4,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44916-tristaen-apartament-pod-naem-v-sofiya.html,44916,наем,Luximmo,0,0,13.11,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.357878
2000 €,Двустаен апартамент,гр. София / кв. Манастирски ливади - Запад Софийска област / България,182.13 м,1,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-34181-dvustaen-apartament-pod-naem-v-sofiya.html,34181,наем,Luximmo,0,0,10.98,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.359225
10000 €,Тристаен апартамент,гр. София / кв. Център Софийска област / България,260 м,21,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-36646-tristaen-apartament-pod-naem-v-sofiya.html,36646,наем,Luximmo,0,0,38.46,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.360849
1140 €,Тристаен апартамент,гр. София / кв. Център Софийска област / България,97 м,4,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-25035-tristaen-apartament-pod-naem-v-sofiya.html,25035,наем,Luximmo,0,0,11.75,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.362037
1650 €,Тристаен апартамент,гр. София / кв. Център Софийска област / България,156 м,5,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-45637-tristaen-apartament-pod-naem-v-sofiya.html,45637,наем,Luximmo,0,0,10.58,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.363395
1290 €,Тристаен апартамент,гр. София / кв. Иван Вазов Софийска област / България,150 м,10,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24396-tristaen-apartament-pod-naem-v-sofiya.html,24396,наем,Luximmo,0,0,8.6,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.364994
1700 €,Тристаен апартамент,гр. София / кв. Лозенец Софийска област / България,120 м,2,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24286-tristaen-apartament-pod-naem-v-sofiya.html,24286,наем,Luximmo,0,0,14.17,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.366477
1300 €,Тристаен апартамент,гр. София / кв. Младост 1 Софийска област / България,122 м,6,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-21703-tristaen-apartament-pod-naem-v-sofiya.html,21703,наем,Luximmo,0,0,10.66,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.367807
825 €,Двустаен апартамент,гр. София / кв. Лозенец Софийска област / България,70 м,4,,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-22388-dvustaen-apartament-pod-naem-v-sofiya.html,22388,наем,Luximmo,0,0,11.79,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,2026-01-29T18:10:25.369065
