title,details_url,ref_no,price_text,location,date,search_url,scraped_at
"Продава 2-СТАЕН, гр. Пловдив, Каменица 1",https://bazar.bg/obiava-52495679/prodawa-2-staen-gr-plowdiw-kamenitsa-1,52495679,180 550€,"гр. Пловдив, Каменица 1",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.777604
"Продава 4-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53071135/prodawa-4-staen-gr-plowdiw-tsentar,53071135,360 000€,"гр. Пловдив, Център",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.777752
"Продава 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53085287/prodawa-3-staen-gr-plowdiw-tsentar,53085287,244 990€,"гр. Пловдив, Център",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.777921
"Продава 3-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-51906683/prodawa-3-staen-gr-plowdiw-mladezhki-halm,51906683,370 000€,"гр. Пловдив, Младежки Хълм",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778070
"Продава 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-52667381/prodawa-2-staen-gr-plowdiw-tsentar,52667381,116 000€,"гр. Пловдив, Център",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778218
"Продава 3-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-52096935/prodawa-3-staen-gr-plowdiw-mladezhki-halm,52096935,240 000€,"гр. Пловдив, Младежки Хълм",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778373
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-52885263/prodawa-2-staen-gr-plowdiw-mladezhki-halm,52885263,155 000€,"гр. Пловдив, Младежки Хълм",21 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778526
"Продава 3-СТАЕН, гр. Пловдив, Мараша",https://bazar.bg/obiava-40888907/prodawa-3-staen-gr-plowdiw-marasha,40888907,359 000€,"гр. Пловдив, Мараша",20 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778675
"Продава 2-СТАЕН, гр. Пловдив, Каменица 1",https://bazar.bg/obiava-52711143/prodawa-2-staen-gr-plowdiw-kamenitsa-1,52711143,153 456€,"гр. Пловдив, Каменица 1",20 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778840
"Продава МЕЗОНЕТ, гр. Пловдив, Център",https://bazar.bg/obiava-51240010/prodawa-mezonet-gr-plowdiw-tsentar,51240010,244 990€,"гр. Пловдив, Център",20 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.778991
"Продава 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-52494076/prodawa-2-staen-gr-plowdiw-tsentar,52494076,159 599€,"гр. Пловдив, Център",19 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-24T06:03:03.779144
