title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,search_url,scraped_at
Двустаен апартамент на ТОП локация! ж.к. Дървеница!,/dvustaen-apartament-na-top-lokaciya-j-k-darvenica-10778045,"Дървеница, София",Цена:209 999 €(410 722.34 лв.),Двустаен апартамент в Дървеница,64 кв.м,Тухла,2010 г.,3 етаж,"КУПИ ЗА EUR 787 на месец! 

!!! ЕКСКЛУЗИВНА ОФЕРТА!!! 

За да не изпуснете този имот, обадете се сега и цитирайте този код: 27304. 

”БЕСТ СЕЛЪРС” предлага на Вашето внимание двустаен апартамент в ж.к..",Best Sellers,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.248764
Продава тристаен апартамент до НСА,/prodava-tristaen-apartament-do-nsa-10525559,"Дървеница, София",Цена:249 750 €(488 468.54 лв.),Тристаен апартамент в Дървеница,111 кв.м,Тухла,2025 г.,5 етаж,"Много светъл и просторен тристаен апартамент до УНСС, НСА и бул. Св. Климент Охридски. Апартаментът се състои от коридор, дневна с трапезария и кухненски бокс, две спални, баня и тоалетна отделно, тер..",Коевски недвижими имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.254677
"Тристаен, продажба, ж.к Медицинска академия",/tristaen-prodajba-j-k-medicinska-akademiya-10858060,"Медицинска академия, София",Цена:320 000 €(625 865.60 лв.),Тристаен апартамент в Медицинска академия,97 кв.м,Тухла,1966 г.,4 етаж,"Титан Пропъртис - офис Хиподрума с радост предлага на Вашето внимание тристаен апартамент за продажба в кв. Медицинска академия, София. 

Жилището от 97 кв.м е разположено на четвърти етаж в осемета..",ТИТАН ПРОПЪРТИС СОФИЯ ООД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.259390
"NV Residences - лукс, качество и впечатляваща архитектура",/nv-residences-luks-kachestvo-i-vpechatlyavashta-arhitektura-9032816,"Дианабад, София",Цена:843 805 €(1 650 339.13 лв.),Тристаен апартамент в Дианабад,210.73 кв.м,Тухла,2026 г.,7 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 82889
Отговорен брокер: инж. Даниела Тотева

Не про..",BULGARIAN PROPERTIES,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.263989
Просторен тристаен обзаведен апартамент в Борово,/prostoren-tristaen-obzaveden-apartament-v-borovo-10777166,"Борово, София",Цена:295 000 €(576 969.85 лв.),Тристаен апартамент в Борово,118 кв.м,Тухла,2012 г.,6 етаж,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба обзаведен тристаен апартамент в кв. Борово. Разположен на шести жилищен етаж от седем. 
Апартаментът се състои от: Хол с кухненски бокс, две спални, баня..",ИРИДА НЕДВИЖИМИ ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.269575
Просторен двустаен апартамент в Гоце Делчев с АКТ 14!!!,/prostoren-dvustaen-apartament-v-goce-delchev-s-akt-14-10798731,"Гоце Делчев, София",Цена:260 400 €(509 298.13 лв.),Двустаен апартамент в Гоце Делчев,85 кв.м,Тухла,2026 г.,2 етаж,"АКТ 14! 

ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен двустаен апартамент в квартал Гоце Делчев. 
Разположен на втори етаж от шест. 
Апартаментът е със следното функционално разпределе..",ИРИДА НЕДВИЖИМИ ИМОТИ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.274033
"3-стаен, София, Борово, 132 кв.м., 275000 €",/3-staen-sofiya-borovo-132-kv-m-275000-10845799,"Борово, София",Цена:275 000 €(537 853.25 лв.),Тристаен апартамент в Борово,132 кв.м,Тухла,,2 етаж,"Прекрасен тристаен апартамент със застроена площ 109,75 кв.м, и обща площ 131,88 кв.м. на ТОП локация! 

Разпределение: входно антре, огромен дневен тракт с кухня, холна част и излаз на открита тера..",Имотека АД,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.278331
"3-стаен, София, Оборище, 103 кв.м., 370000 €",/3-staen-sofiya-oborishte-103-kv-m-370000-10857127,"Оборище, София",Цена:370 000 €(723 657.10 лв.),Тристаен апартамент в Оборище,103 кв.м,Тухла,,5 етаж,"Тристаен апартамент с площ от 105 кв.м състоящ се от: коридор, дневна с трапезария и кухнески бокс, източен балкон, две спални, едната с изложение - изток, а другата е западна с широк балкон, наскоро ..",Адрес недвижими имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.282800
"ТРИСТАЕН АПАРТАМРНТ, ЖК ИЗТОК",/tristaen-apartamrnt-jk-iztok-10712017,"Изток, София",Цена:410 000 €(801 890.30 лв.),Тристаен апартамент в Изток,84 кв.м,Тухла,,2 етаж,"Представяме на Вашето внимание обзаведен, тристаен апартамент след ремонт в района на жк Изгрев, град София. Имота е разположен на втори етаж в стара тухлена сграда на ул. Антон Павлович Чехов. Апарта..",Експрес имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.286975
Тристаен апартамент за продажба в Оборище,/tristaen-apartament-za-prodajba-v-oborishte-9151491,"Оборище, София",Цена:510 360 €(998 177.40 лв.),Тристаен апартамент в Оборище,137 кв.м,Тухла,2026 г.,6 етаж,"БЕЗ КОМИСИОННА! Предлагаме тристаен апартамент в нов, бутиков, жилищен комплекс вече с АКТ 16, близо до метростанция ’Театрална’ и парк ’Заимов’. Имотът е на етаж 6 от 14 с обща площ 137.18 кв.м и чис..",BG Broker,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T20:19:16.291426
