title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
Продава 3-СТАЕН,429660,EUR,Продава,тристаен,град София,Оборище,"144 кв.м, 12-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658235296158&slink=bhcl5k&f1=8,4.0,2024-12-29 17:26:22.090320,imot.bg,,,1c168658235296158,
Продава 3-СТАЕН,429660,EUR,Продава,тристаен,град София,Оборище,"145 кв.м, 9-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168658237204101&slink=bhcl5k&f1=8,4.0,2024-12-29 17:26:22.090489,imot.bg,,,1c168658237204101,
Продава 3-СТАЕН,358050,EUR,Продава,тристаен,град София,Оборище,"153 кв.м, 3-ти ет. от 12, ТЕЦ, Тухла 2026 г., БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!! 3-СТАЕН апартамент със ЗП 135 м² в затворен комплекс до метроста ..., тел.: 0888 86 76 00",0888 86 76 00,,https://traditions470522.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172898228186185&slink=bhcl5k&f1=8,14.0,2024-12-29 17:26:22.090660,imot.bg,,,1c172898228186185,
Продава 3-СТАЕН,433105,EUR,Продава,тристаен,град София,Оборище,"146 кв.м, 5-ти ет. от 14, ТЕЦ, Тухла 2026 г., Апартаментът се състои от 2 спални- към едната от спалните има прилежаща баня с WC; дневна с трапеза ..., тел.: 088 21 21 450",088 21 21 450,,https://address.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c168655297512362&slink=bhcl5k&f1=8,15.0,2024-12-29 17:26:22.090865,imot.bg,,,1c168655297512362,
Продава 3-СТАЕН,439900,EUR,Продава,тристаен,град София,Оборище,"113 кв.м, 1-ви ет. от 6, ТЕЦ, Тухла 1945 г., Тристаен апартамент в Центъра на София, с лесно преустройство в ЧЕТИРИСТАЕН. Имотът се помещава в ту ..., тел.: 0879210018",0879210018,,https://greatland.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172614133547120&slink=bhcl5k&f1=8,10.0,2024-12-29 17:26:22.091048,imot.bg,,,1c172614133547120,
Продава 3-СТАЕН,443520,EUR,Продава,тристаен,град София,Оборище,"149 кв.м, 12-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент, състоящ се от: входно преддверие, две спални, дневна ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170963461138631&slink=bhcl5k&f1=8,4.0,2024-12-29 17:26:22.091225,imot.bg,,,1c170963461138631,
Продава 3-СТАЕН,443520,EUR,Продава,тристаен,град София,Оборище,"155 кв.м, 7-ми ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Цената е с включен ДДС. Тристаен апартамент с обща площ от 155.36 кв.м. и ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c169346808920743&slink=bhcl5k&f1=8,8.0,2024-12-29 17:26:22.091395,imot.bg,,,1c169346808920743,
Продава 3-СТАЕН,450000,EUR,Продава,тристаен,град София,Оборище,"140 кв.м, 6-ти ет. от 9, ТЕЦ, Тухла 2000 г., Unique Estates представя на Вашето внимание слънчев апартамент за продажба, намиращ се в район Обори ..., тел.: 0882 300 400",0882 300 400,,https://uniqueestates.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171014163584574&slink=bhcl5k&f1=8,12.0,2024-12-29 17:26:22.091567,imot.bg,,,1c171014163584574,
Продава 3-СТАЕН,450000,EUR,Продава,тристаен,град София,Оборище,"200 кв.м, Партер от 5, ТЕЦ, Тухла 2023 г., Агенция SUPRIMMO: www.suprimmo.bg Тристайният апартамент, който представяме за продажба е част от но ..., тел.: 0882638459",0882638459,,https://superimoti.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171682201227656&slink=bhcl5k&f1=8,7.0,2024-12-29 17:26:22.091737,imot.bg,,,1c171682201227656,
Продава 3-СТАЕН,450450,EUR,Продава,тристаен,град София,Оборище,"152 кв.м, 5-ти ет. от 14, ТЕЦ, Тухла 2026 г., Без комисиона от купувача. Тристаен апартамент с обща площ от 152.12 кв.м. и застроена площ от 130.4 ..., тел.: 088 21 21 488",088 21 21 488,,https://imoteka.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c170963464066500&slink=bhcl5k&f1=8,8.0,2024-12-29 17:26:22.091907,imot.bg,,,1c170963464066500,
