id,,url,title,location,description,price,photos,main_photo,is_favorite,reference_number,contact_info,price_per_m2,floor,is_top_ad
1602788,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-106m2-sofiya-zhk.-ovcha-kupel/as1602788,"Тристаен, 106m²","жк. Овча Купел, София","Тухла, Полуобзаведен","{'value': '250,000', 'currency': 'EUR', 'price_per_square_meter': '2,358 EUR/m²'}","['https://homes.bg/2024-12-12_2/112423591', 'https://homes.bg/2024-12-12_2/112423592', 'https://homes.bg/2024-12-12_2/112423593', 'https://homes.bg/2024-12-12_2/112423594', 'https://homes.bg/2024-12-12_2/112423595', 'https://homes.bg/2024-12-12_2/112423596', 'https://homes.bg/2024-12-12_2/112423597', 'https://homes.bg/2024-12-12_2/112423598', 'https://homes.bg/2024-12-12_2/112423599', 'https://homes.bg/2024-12-12_2/112423600']",https://homes.bg/2024-12-12_2/112423591,False,,,,,
1602768,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-66m2-sofiya-zhk.-ovcha-kupel/as1602768,"Двустаен, 66m²","жк. Овча Купел, София","Тухла, Необзаведен","{'value': '125,000', 'currency': 'EUR', 'price_per_square_meter': '1,893 EUR/m²'}","['https://homes.bg/2024-12-12_2/112419607', 'https://homes.bg/2024-12-12_2/112419608', 'https://homes.bg/2024-12-12_2/112419609', 'https://homes.bg/2024-12-12_2/112419610', 'https://homes.bg/2024-12-12_2/112419611', 'https://homes.bg/2024-12-12_2/112419612', 'https://homes.bg/2024-12-12_2/112419613', 'https://homes.bg/2024-12-12_2/112419614', 'https://homes.bg/2024-12-12_2/112419615', 'https://homes.bg/2024-12-12_2/112419616']",https://homes.bg/2024-12-12_2/112419607,False,,,,,
1603429,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-109m2-sofiya-zhk.-ovcha-kupel/as1603429,"Тристаен, 109m²","жк. Овча Купел, София","Тухла, Необзаведен, ТЕЦ","{'value': '185,000', 'currency': 'EUR', 'price_per_square_meter': '1,697 EUR/m²'}","['https://homes.bg/2024-12-13_1/112425299', 'https://homes.bg/2024-12-13_1/112425300', 'https://homes.bg/2024-12-13_1/112425301', 'https://homes.bg/2024-12-13_1/112425302', 'https://homes.bg/2024-12-13_1/112425303', 'https://homes.bg/2024-12-13_1/112425304']",https://homes.bg/2024-12-13_1/112425299,False,,,,,
1603430,as,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-63m2-sofiya-zhk.-ovcha-kupel/as1603430,"Двустаен, 63m²","жк. Овча Купел, София","Тухла, Необзаведен, ТЕЦ","{'value': '93,500', 'currency': 'EUR', 'price_per_square_meter': '1,484 EUR/m²'}","['https://homes.bg/2024-12-13_1/112425305', 'https://homes.bg/2024-12-13_1/112425306', 'https://homes.bg/2024-12-13_1/112425307', 'https://homes.bg/2024-12-13_1/112425308']",https://homes.bg/2024-12-13_1/112425305,False,,,,,
1603428,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-123m2-sofiya-zhk.-ovcha-kupel/as1603428,"Тристаен, 123m²","жк. Овча Купел, София","Тухла, Необзаведен, ТЕЦ","{'value': '238,900', 'currency': 'EUR', 'price_per_square_meter': '1,942 EUR/m²'}","['https://homes.bg/2024-12-13_1/112425290', 'https://homes.bg/2024-12-13_1/112425291', 'https://homes.bg/2024-12-13_1/112425292', 'https://homes.bg/2024-12-13_1/112425293', 'https://homes.bg/2024-12-13_1/112425294', 'https://homes.bg/2024-12-13_1/112425295', 'https://homes.bg/2024-12-13_1/112425296', 'https://homes.bg/2024-12-13_1/112425297', 'https://homes.bg/2024-12-13_1/112425298']",https://homes.bg/2024-12-13_1/112425290,False,,,,,
1595221,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-124m2-sofiya-zhk.-ovcha-kupel/as1595221,"Тристаен, 124m²","жк. Овча Купел, София","Тухла, Обзаведен","{'value': '215,000', 'currency': 'EUR', 'price_per_square_meter': '1,733 EUR/m²'}","['https://homes.bg/2024-12-12_2/112415247', 'https://homes.bg/2024-12-12_2/112415248', 'https://homes.bg/2024-12-12_2/112415249', 'https://homes.bg/2024-12-12_2/112415250', 'https://homes.bg/2024-12-12_2/112415251', 'https://homes.bg/2024-12-12_2/112415252', 'https://homes.bg/2024-12-12_2/112415253', 'https://homes.bg/2024-12-12_2/112415254', 'https://homes.bg/2024-12-12_2/112415255', 'https://homes.bg/2024-12-12_2/112415256']",https://homes.bg/2024-12-12_2/112415247,False,,,,,
1603521,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-97m2-sofiya-zhk.-ovcha-kupel/as1603521,"Тристаен, 97m²","жк. Овча Купел, София","Тухла, Необзаведен, Електричество","{'value': '195,000', 'currency': 'EUR', 'price_per_square_meter': '2,010 EUR/m²'}","['https://homes.bg/2024-12-12_2/112413768', 'https://homes.bg/2024-12-12_2/112413769', 'https://homes.bg/2024-12-12_2/112413770', 'https://homes.bg/2024-12-12_2/112413771', 'https://homes.bg/2024-12-12_2/112413772', 'https://homes.bg/2024-12-12_2/112413773', 'https://homes.bg/2024-12-12_2/112413774', 'https://homes.bg/2024-12-12_2/112413775', 'https://homes.bg/2024-12-12_2/112413777', 'https://homes.bg/2024-12-12_2/112413776']",https://homes.bg/2024-12-12_2/112413768,False,,,,,
1421389,as,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-188m2-sofiya-zhk.-ovcha-kupel/as1421389,"Многостаен, 188m²","жк. Овча Купел, София","Тухла, Прокарва се","{'value': '291,740', 'currency': 'EUR', 'price_per_square_meter': '1,551 EUR/m²'}","['https://homes.bg/2022-06-25_1/85384856', 'https://homes.bg/2022-06-25_1/85384858', 'https://homes.bg/2022-06-25_1/85384861', 'https://homes.bg/2022-06-25_1/85384863', 'https://homes.bg/2022-06-25_1/85384865']",https://homes.bg/2022-06-25_1/85384856,False,,,,,
1596556,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-98m2-sofiya-zhk.-ovcha-kupel/as1596556,"Тристаен, 98m²","жк. Овча Купел, София","ЕПК, Полуобзаведен, Електричество","{'value': '199,990', 'currency': 'EUR', 'price_per_square_meter': '2,040 EUR/m²'}","['https://homes.bg/2024-12-10_2/112384618', 'https://homes.bg/2024-12-10_2/112384619', 'https://homes.bg/2024-12-10_2/112384620', 'https://homes.bg/2024-12-10_2/112384621', 'https://homes.bg/2024-12-10_2/112384622', 'https://homes.bg/2024-12-10_2/112384623', 'https://homes.bg/2024-12-10_2/112384624', 'https://homes.bg/2024-12-10_2/112384625', 'https://homes.bg/2024-12-10_2/112384626', 'https://homes.bg/2024-12-10_2/112384627']",https://homes.bg/2024-12-10_2/112384618,False,,,,,
1576483,as,https://homes.bg/offer/apartament-za-prodazhba/tristaen-120m2-sofiya-zhk.-ovcha-kupel/as1576483,"Тристаен, 120m²","жк. Овча Купел, София","Тухла, Необзаведен, Електричество","{'value': '233,727', 'currency': 'EUR', 'price_per_square_meter': '1,947 EUR/m²'}","['https://homes.bg/2024-07-08_2/110332872', 'https://homes.bg/2024-07-08_2/110332873', 'https://homes.bg/2024-07-08_2/110332868', 'https://homes.bg/2024-07-08_2/110332869', 'https://homes.bg/2024-07-08_2/110332871', 'https://homes.bg/2024-07-08_2/110332870']",https://homes.bg/2024-07-08_2/110332872,False,,,,,
