title,price,location,details_url,images,agency,floor,price_per_m2,description,reference_number,is_top_ad,url,photos,is_favorite,contact_info
"продаваДвустаен апартамент,87 м2",248 325EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909985/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909985/main_image/thumb_280x210_main_image_5909985_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,61 м2",254 900EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5958487/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/5958487/main_image/thumb_280x210_main_image_5958487_1.jpg?ver=1735053451'}",продава,,,публикувана от :First Estates,,False,,,,
"продаваДвустаен апартамент,68 м2",258 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5926812/?sid=iidgfw&page=1,"{'count': '6', 'url': 'https://www.imoti.net/web/files/obiavi/5926812/main_image/thumb_280x210_main_image_5926812_1.jpg?ver=1735053451'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,124 м2",272 800EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5999504/?sid=iidgfw&page=1,"{'count': '20', 'url': 'https://www.imoti.net/web/files/obiavi/5999504/main_image/thumb_280x210_main_image_5999504_1.jpg?ver=1735053451'}",продава,,,публикувана от :BULGARIAN PROPERTIES,Sfb 86124Тел: 0882 817...,False,,,,
"продаваДвустаен апартамент,55 м2",93 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5892992/?sid=iidgfw&page=1,"{'count': '7', 'url': 'https://www.imoti.net/web/files/obiavi/5892992/main_image/thumb_280x210_0.jpg?ver=1735053453'}",продава,,,публикувана от :Калиста Естейт,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6010717/?sid=iidgfw&page=1,"{'count': '10', 'url': 'https://www.imoti.net/web/files/obiavi/6010717/main_image/thumb_280x210_main_image_6010717_1.jpg?ver=1735053453'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,64 м2",140 976EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/5879021/?sid=iidgfw&page=1,"{'count': '11', 'url': 'https://www.imoti.net/web/files/obiavi/5879021/main_image/thumb_280x210_dvustaen-oborishte-1.jpg?ver=1735053453'}",продава,,,публикувана от :Титан Пропъртис,,False,,,,
"продаваДвустаен апартамент,66 м2",164 450EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5909418/?sid=iidgfw&page=1,"{'count': '1', 'url': 'https://www.imoti.net/web/files/obiavi/5909418/main_image/thumb_280x210_main_image_5909418_1.jpg?ver=1735053453'}",продава,,,публикувана от :ИРИДА НЕДВИЖИМИ ИМОТИ,,False,,,,
"продаваДвустаен апартамент,57 м2",170 000EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5998018/?sid=iidgfw&page=1,"{'count': '4', 'url': 'https://www.imoti.net/web/files/obiavi/5998018/main_image/thumb_280x210_main_image_5998018_1.jpg?ver=1735053453'}",продава,,,публикувана от :Естейт Фактори,,False,,,,
"продаваДвустаен апартамент,62 м2",173 250EUR,"София, Оборище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/dvustaen/5808435/?sid=iidgfw&page=1,"{'count': '12', 'url': 'https://www.imoti.net/web/files/obiavi/5808435/main_image/thumb_280x210_main_image_5808435_1.jpg?ver=1735053453'}",продава,,,публикувана от :First Estates,,False,,,,
