price_text,title,location,description,info_text,details_url,photos_text,contact_info,agency_name,agency_url,ref_no,total_offers,price_per_m2,search_url,scraped_at
540 000 €1 056 148.20 лв.,Продава 3-СТАЕН,"град София, Дианабад","127 кв.м, 14-ти ет. от 16, ТЕЦ, 2024 г., Билдинг Бокс представя луксозен тристаен апартамент в модерна жилищна сграда в кв. Дианабад.  Акт 16 ..., тел.: 0879900994","127 кв.м, 14-ти ет. от 16, ТЕЦ, 2024 г., Билдинг Бокс представя луксозен тристаен апартамент в модерна жилищна сграда в кв. Дианабад.  Акт 16 ..., тел.: 0879900994",//www.imot.bg/obiava-1c176848152458643-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 13 снимки,0879900994,БИЛДИНГ БОКС,//buildingbox.imot.bg,1,0,4251.97,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.794562
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","220 кв.м, 5-ти ет. от 5, ТЕЦ, 2024 г., ЕРА Фамилия има удоволствието да ви представи тристаен апартамент ( N  504 ), разположен на пети пос ..., тел.: 0888775111","220 кв.м, 5-ти ет. от 5, ТЕЦ, 2024 г., ЕРА Фамилия има удоволствието да ви представи тристаен апартамент ( N  504 ), разположен на пети пос ..., тел.: 0888775111",//www.imot.bg/obiava-1c172283957345941-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 10 снимки,0888775111,ЕРА ФАМИЛИЯ,//erafamilia.imot.bg,1,0,2500.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.795519
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","122 кв.м, 4-ти ет. от 7, ТЕЦ, 2022 г., First Estates би искала да ви представи този новопостроен (с акт 16), обзаведен апартамент с 2 спалн ..., тел.: 070015151","122 кв.м, 4-ти ет. от 7, ТЕЦ, 2022 г., First Estates би искала да ви представи този новопостроен (с акт 16), обзаведен апартамент с 2 спалн ..., тел.: 070015151",//www.imot.bg/obiava-1c176278139047213-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 13 снимки,070015151,ФЪРСТ ЕСТЕЙТС,//first_estates.imot.bg,1,0,4508.2,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.796473
590 000 €1 153 939.70 лв.,Продава 3-СТАЕН,"град София, Дианабад","150 кв.м, ул. 132, 2-ри ет. от 6, ТЕЦ, Въведен в експлоатация 2007 г., Предствяме Ви обзаведен апартамент на тиха и спокойна улица, на 11 минути пешеходно разстояние от ме ..., тел.: 0887770927","150 кв.м, ул. 132, 2-ри ет. от 6, ТЕЦ, Въведен в експлоатация 2007 г., Предствяме Ви обзаведен апартамент на тиха и спокойна улица, на 11 минути пешеходно разстояние от ме ..., тел.: 0887770927",//www.imot.bg/obiava-1c176596176271006-prodava-tristaen-apartament-grad-sofiya-dianabad-ul-132,Повече детайлии 17 снимки,0887770927,БЪЛГАРИЯ РИАЛ ЕСТЕЙТС,//rbland.imot.bg,1,0,3933.33,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.797415
505 000 €987 694.15 лв.,Продава 3-СТАЕН,"град София, Дианабад","219 кв.м, 5-ти ет. от 5, Референтен номер: 737.     МаксВю Пропърти Ви представя тристаен апартамент с панорамна гледка в лук ..., тел.: 0893069401","219 кв.м, 5-ти ет. от 5, Референтен номер: 737.     МаксВю Пропърти Ви представя тристаен апартамент с панорамна гледка в лук ..., тел.: 0893069401",//www.imot.bg/obiava-1c171351472791537-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 6 снимки,0893069401,МАКСВЮ ПРОПЪРТИ,//maxview050221.imot.bg,1,0,2305.94,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.798376
520 000 €1 017 031.60 лв.,Продава 3-СТАЕН,"град София, Дианабад","127 кв.м, 14-ти ет. от 18, ТЕЦ, Впечатляващият луксозен тристаен  апартамент, разположен  в сграда 'Хармония' на 'Артекс ..., тел.: 0892501483","127 кв.м, 14-ти ет. от 18, ТЕЦ, Впечатляващият луксозен тристаен  апартамент, разположен  в сграда 'Хармония' на 'Артекс ..., тел.: 0892501483",//www.imot.bg/obiava-1c176222580758223-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0892501483,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,1,0,4094.49,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.799323
540 000 €1 056 148.20 лв.,Продава 3-СТАЕН,"град София, Дианабад","127 кв.м, 14-ти ет. от 16, ТЕЦ, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме луксозен тристаен апартамент в една от емблематич ..., тел.: 0884657885","127 кв.м, 14-ти ет. от 16, ТЕЦ, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме луксозен тристаен апартамент в една от емблематич ..., тел.: 0884657885",//www.imot.bg/obiava-1c174895957697018-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 17 снимки,0884657885,ЛУКСИММО,//luximmo.imot.bg,1,0,4251.97,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.800280
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","220 кв.м, 5-ти ет. от 5, Газ, Въведен в експлоатация 2024 г., Innove Недвижими имоти има удоволствието да представи просторен тристаен апартамент, разположен на п ..., тел.: 0877772329","220 кв.м, 5-ти ет. от 5, Газ, Въведен в експлоатация 2024 г., Innove Недвижими имоти има удоволствието да представи просторен тристаен апартамент, разположен на п ..., тел.: 0877772329",//www.imot.bg/obiava-1c176880901208906-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 11 снимки,0877772329,ИНОВЕ - НЕДВИЖИМИ ИМОТИ,//innovestate.imot.bg,1,0,2500.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.801228
660 000 €1 290 847.80 лв.,Продава 3-СТАЕН,"град София, Дианабад","220 кв.м, 5-ти ет. от 5, 2024 г., Престиж, простор и стил   ключ към вашия нов дом в Дианабад  Представяме Ви изключителен тристаен ап ..., тел.: 088 21 21 450","220 кв.м, 5-ти ет. от 5, 2024 г., Престиж, простор и стил   ключ към вашия нов дом в Дианабад  Представяме Ви изключителен тристаен ап ..., тел.: 088 21 21 450",//www.imot.bg/obiava-1c176382842356215-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 4 снимки,088 21 21 450,АДРЕС НЕДВИЖИМИ ИМОТИ,//address.imot.bg,1,0,3000.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.802161
660 000 €1 290 847.80 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 6-ти ет. от 6, 2024 г., Просторен тристаен апартамент, ситуиран е на последен 6-ти етаж (5-ти жилищен) и е със следното разп ..., тел.: 088 21 21 450","210 кв.м, 6-ти ет. от 6, 2024 г., Просторен тристаен апартамент, ситуиран е на последен 6-ти етаж (5-ти жилищен) и е със следното разп ..., тел.: 088 21 21 450",//www.imot.bg/obiava-1c174108031750792-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 11 снимки,088 21 21 450,АДРЕС НЕДВИЖИМИ ИМОТИ,//address.imot.bg,1,0,3142.86,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.803105
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","209 кв.м, 6-ти ет. от 6, Въведен в експлоатация 2020 г., 429389 СГРАДА ПРЕД АКТ 16! БЕЗ КОМИСИОНА ОТ КУПУВАЧА! На Вашето внимание представяме бутиков проект  ..., тел.: 0883941547","209 кв.м, 6-ти ет. от 6, Въведен в експлоатация 2020 г., 429389 СГРАДА ПРЕД АКТ 16! БЕЗ КОМИСИОНА ОТ КУПУВАЧА! На Вашето внимание представяме бутиков проект  ..., тел.: 0883941547",//www.imot.bg/obiava-1c176104223164454-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 6 снимки,0883941547,МИРЕЛА - СОФИЯ,//mirela.imot.bg,1,0,2631.58,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.804066
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2024 г., Акт 16!  Единствен на етаж!  Голям тристаен панорамен апартамент!  Галерия имоти ви предлага за прод ..., тел.: 0892601866","210 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2024 г., Акт 16!  Единствен на етаж!  Голям тристаен панорамен апартамент!  Галерия имоти ви предлага за прод ..., тел.: 0892601866",//www.imot.bg/obiava-1c169045363215054-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 12 снимки,0892601866,ГАЛЕРИЯ ИМОТИ,//galeriaimoti1.imot.bg,1,0,2619.05,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.805013
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2024 г., Акт 16!  Галерия Имоти ви предлага широк 3-стаен апартамент на последен етаж в бутикова сграда, коят ..., тел.: 0892601866","210 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2024 г., Акт 16!  Галерия Имоти ви предлага широк 3-стаен апартамент на последен етаж в бутикова сграда, коят ..., тел.: 0892601866",//www.imot.bg/obiava-1c171161374853246-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 12 снимки,0892601866,ГАЛЕРИЯ ХОУМС,//galeriaimoti.imot.bg,1,0,2619.05,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.805963
660 000 €1 290 847.80 лв.,Продава 3-СТАЕН,"град София, Дианабад","222 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2025 г., Пред акт 16!  ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен, панорамен сам на етажа триста ..., тел.: 0878332245","222 кв.м, 6-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2025 г., Пред акт 16!  ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен, панорамен сам на етажа триста ..., тел.: 0878332245",//www.imot.bg/obiava-1c170950136570549-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 6 снимки,0878332245,ИРИДА НЕДВИЖИМИ ИМОТИ,//irida.imot.bg,1,0,2972.97,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.806909
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","220 кв.м, 5-ти ет. от 5, 2025 г., Unique Estates има удоволствието да Ви представи прекрасен пентхаус с две спални в кв. Дианабад. Имо ..., тел.: 0882 300 400","220 кв.м, 5-ти ет. от 5, 2025 г., Unique Estates има удоволствието да Ви представи прекрасен пентхаус с две спални в кв. Дианабад. Имо ..., тел.: 0882 300 400",//www.imot.bg/obiava-1c176813884819531-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 8 снимки,0882 300 400,ЮНИК ЕСТЕЙТС,//uniqueestates.imot.bg,1,0,2500.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.807865
660 000 €1 290 847.80 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 6-ти ет. от 6, ТЕЦ, 2023 г., Билдинг Бокс предлага за продажба тристаен апартамент в кв. Дианабад, в близост до парк 'Студент ..., тел.: 0877734412","210 кв.м, 6-ти ет. от 6, ТЕЦ, 2023 г., Билдинг Бокс предлага за продажба тристаен апартамент в кв. Дианабад, в близост до парк 'Студент ..., тел.: 0877734412",//www.imot.bg/obiava-1c174040126364699-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 2 снимки,0877734412,БИЛДИНГ БОКС,//buildingbox.imot.bg,1,0,3142.86,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.808806
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 5-ти ет. от 5, Въведен в експлоатация 2024 г., Предлагам на вашето внимание апртамент в нова жилищна сграда с акт 16 в близост до х-л Вега; Отлична ..., тел.: 0884474754","210 кв.м, 5-ти ет. от 5, Въведен в експлоатация 2024 г., Предлагам на вашето внимание апртамент в нова жилищна сграда с акт 16 в близост до х-л Вега; Отлична ..., тел.: 0884474754",//www.imot.bg/obiava-1c172310606518161-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 7 снимки,0884474754,ПД ИМОТИ -ЮГ,//nadq66.imot.bg,1,0,2619.05,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.809772
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","210 кв.м, 5-ти ет. от 5, ТЕЦ, Въведен в експлоатация 2024 г., Имоти Премиер предалга на вашето внимание пентхаус на границата на Студентски град и Дианабад.  Жили ..., тел.: 0877560094","210 кв.м, 5-ти ет. от 5, ТЕЦ, Въведен в експлоатация 2024 г., Имоти Премиер предалга на вашето внимание пентхаус на границата на Студентски град и Дианабад.  Жили ..., тел.: 0877560094",//www.imot.bg/obiava-1c174472385538302-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 11 снимки,0877560094,ИМОТИ ПРЕМИЕР,//premierimotisf.imot.bg,1,0,2619.05,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.810726
550 000 €1 075 706.50 лв.,Продава 3-СТАЕН,"град София, Дианабад","220 кв.м, 5-ти ет. от 5, ТЕЦ, 2024 г., ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Дианабад на комуникативно място в близ ..., тел.: 0885 98 11 00","220 кв.м, 5-ти ет. от 5, ТЕЦ, 2024 г., ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Дианабад на комуникативно място в близ ..., тел.: 0885 98 11 00",//www.imot.bg/obiava-1c172527814472661-prodava-tristaen-apartament-grad-sofiya-dianabad,Повече детайлии 3 снимки,0885 98 11 00,ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ,//dreamvision.imot.bg,1,0,2500.0,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/tristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-30T06:12:01.811712
