price_text,title,location,size_text,description,details_url,ref_no,agency_name,num_photos,total_offers,time,search_url,scraped_at
от429 000€,Vitosha View – емблематичен комплекс в кв. Кръстова вада,"гр. София,кв. ""Кръстова вада""","(2 618- 2 715€/м2)(5 120,36- 5 310,08лв./м2)Площ: 163.89 - 163.89 м2","Витоша Вю / Vitosha View комплекс от висок на бул. Черни връх в полите на Витоша. Пресечната точка на класическа градска среда и непосредствена близост до планина създава усещане за  дом, с комфорт и удобство, с бърза комуникация, и красиви градини с много зеленина.

В",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-44962-apartamenti-za-prodajba-v-sofiya.html,,Магдалена Тошева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.554228
от219 678€,Нови жилища до Бизнес Парк София и метро,"гр. София,кв. ""Младост 4""","(2 350- 2 705€/м2)(4 596,20- 5 290,52лв./м2)Площ: 87.80 - 202.38 м2","Вие сте човек, който мечтае да живее в изискан дом, отговарящ на Вашите високи стандарти, държите на стила и вниманието към малките детайли? Изберете дом в новия комплекс разположен в кв. Младост 4! Кварталът е един от най-развиващите и обновяващи се квартали на столицата.",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82409-apartamenti-za-prodajba-v-sofiya.html,,Николай Попов,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.557615
570 000€,Бутиков тристаен апартамент в кв.Бояна,"гр. София,кв. ""Бояна""","(3 373€/м2)(6 596,59лв./м2)Площ: 169.00 м2Етаж: 1","Представяме Ви просторен тристаен апартамент в бутиковата сграда М Residence на ул. Кумата в кв. Бояна. Сградата е разположена на локация, която дава възможност за лесен достъп до града, но същевременно носи усещане за уединение и зелена среда.

Жилището е разположено на на",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88510-tristaen-apartament-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.560905
965 000€,Четиристаен апартамент в нова луксозна сграда в кв. Бояна,"гр. София,кв. ""Бояна""","(3 971€/м2)(7 766,98лв./м2)Площ: 243.00 м2Етаж: 2","Представяме Ви просторен четиристаен апартамент в бутиковата сграда М Residence на ул. Кумата в кв. Бояна. Сградата е разположена на локация, която дава възможност за лесен достъп до града, но същевременно носи усещане за уединение и зелена среда.

Жилището е разположено на на",https://www.bulgarianproperties.bg/imoti-chetiristayni-apartamenti/imot-88515-chetiristaen-apartament-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.564185
367 000€,Изключително просторен тристаен апартамент до Paradise Center и метростанция,"гр. София,кв. ""Кръстова вада""","(2 585€/м2)(5 054,86лв./м2)Площ: 142.00 м2Етаж: 2","Изключително просторен, светъл и функционално проектиран тристаен апартамент, разположен в модерна сграда ново строителство в една от най-предпочитаните и динамично развиващи се части на София – кв. Кръстова вада. Локацията е стратегическа и изключително удобна – на пешеходно",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89198-tristaen-apartament-za-prodajba-v-sofiya.html,,Савина Божилова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.567357
565 000€,Тристаен апартамент в Smart Tower до Парадайс център,"гр. София,кв. ""Кръстова вада""","(3 763€/м2)(7 360,58лв./м2)Площ: 150.13 м2Етаж: 18","Имаме удоволствието да Ви представим прекрасен тристаен апартамент в луксозната сграда Smart Tower, разположена от източната страна на бул. Черни връх, непосредствено до Мол Парадайс и Южен парк. Сградата предлага изцяло нова степен на свобода с намиращата се на пешеходно",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-84230-tristaen-apartament-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.570639
345 000€,Елегантен тристаен апартамент в подножието на Витоша сред уникална природа,"гр. София,кв. ""Симеоново""","(3 000€/м2)(5 867,49лв./м2)Площ: 115.00 м2Етаж: 2","Предлагаме за продажба изключително стилен и напълно обзаведен тристаен апартамент с обща площ от 115 кв.м, разположен в престижния квартал Симеоново, над Sofia Ring Mall и IKEA. Имотът съчетава комфорт, простор и усещане за живот сред природата, с впечатляващи гледки към Витоша",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89128-tristaen-apartament-za-prodajba-v-sofiya.html,,Савина Божилова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.573884
245 000€,Светъл тристаен апартамент на предпоследен етаж в кв. Малинова долина,"гр. София,кв. ""Малинова долина""","(2 579€/м2)(5 043,98лв./м2)Площ: 95.00 м2Етаж: 6","Представяме ви разкошен тристаен апартамент, разположен на 6-ти, предпоследен етаж в модерна новопостроена сграда в предпочитания квартал Малинова долина. Жилището е подходящо както за уютен семеен дом, така и за инвестиция с дългосрочна перспектива, благодарение на локацията и",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89187-tristaen-apartament-za-prodajba-v-sofiya.html,,Кирил Календерски,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.577128
230 000€,Тристаен апартамент с южно изложение до езерото в Дружба 1,"гр. София,кв. ""Дружба 1""","(2 054€/м2)(4 016,44лв./м2)Площ: 112.00 м2Етаж: 5","Предлагаме за продажба просторен тристаен апартамент в един от най-зелените и добре уредени квартали на София – Дружба 1, в непосредствена близост до езерото, метростанция, детски градини, магазини и спирки на градски транспорт. Локацията съчетава спокойствието на паркова среда с",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89189-tristaen-apartament-za-prodajba-v-sofiya.html,,Савина Божилова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.580917
291 000€,Тристаен апартамент за продажба в Манастирски ливади – изток,"гр. София,кв. ""Манастирски ливади""","(2 798€/м2)(5 472,56лв./м2)Площ: 104.00 м2Етаж: 3","Предлагаме за продажба тристаен апартамент в нов жилищен проект, разположен в предпочитания квартал Манастирски ливади – изток. Локацията съчетава тишина, модерна среда и отличен достъп до ключови булеварди, търговски обекти и услуги.

Апартаментът се намира на 3-ти етаж (втори",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89193-tristaen-apartament-za-prodajba-v-sofiya.html,,Магдалена Тошева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.587447
365 000€,Просторен и уютен частично обзаведен апартамент в кв. Лагера,"гр. София,кв. ""Лагера""","(3 057€/м2)(5 978,88лв./м2)Площ: 119.40 м2Етаж: 3","Представяме ви просторен тристаен апартамент с отлична локация в един от най-предпочитаните квартали на София – кв. Лагера. Имотът се намира на ул. Евстатий Пелагонийски, в непосредствена близост до бул. Акад. Иван Евстратиев Гешов, което осигурява бърз и удобен достъп до центъра",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87964-tristaen-apartament-za-prodajba-v-sofiya.html,,Магдалена Цоклинова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.593491
238 000€,Просторен и светъл апартамент в кв. Младост 2,"гр. София,кв. ""Младост 2""","(2 728€/м2)(5 335,10лв./м2)Площ: 87.25 м2Етаж: 7","Предлагаме за продажба напълно обзаведено жилище с отлична локация в кв. Младост 2 и функционално разпределение. Просторният двустаен апартамент с чиста жилищна площ от 70 кв.м. е разположен в спокоен и добре устроен район, съчетаващ тишина, зеленина и удобен достъп до всички",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88986-dvustaen-apartament-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.596721
743 942€,Мезонет в топ комплекс до Ловен парк в кв. Дианабад,"гр. София,кв. ""Дианабад""","(2 318€/м2)(4 532,79лв./м2)Площ: 321.00 м2Етаж: 8,9","Търсите безкомпромисно качество, лукс и топ локация в столицата до Борисова градина и Ловен парк? Вижте този имот! Луксозен мезонет в VMV Residence в кв. Дианабад.

Комплекс с изключително модерна визия, номиниран за Сграда на годината за 2022 г. в категория за обекти с РЗП над",https://www.bulgarianproperties.bg/imoti-mezoneti/imot-80490-mezonet-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.599824
