price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
1 600 €,Тристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:110 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-118300-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,SOF-118300,наем,Suprimmo,3,368,14.55,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.563067
2 500 €,Многостаен апартамент,"гр. София / кв. Стрелбище / Софийска област, България",Площ:301 м²Спални:3Етаж:7,,https://www.suprimmo.bg/imot-41508-luksozen-dizaynerski-mnogostaen-apartament-pod-naem-do-bul-balgariya/,Sfa 1275,наем,Suprimmo,3,368,8.31,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.563964
1 200 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:120 м²Спални:2Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-137006-moderen-tristaen-apartament-na-metri-ot-sofiyskiya-universitet/,STO-137006,продава,Suprimmo,3,368,10.0,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.564934
1 190 €,Двустаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:81 м²Спални:1Етаж:3Етажност на сградата:5,,https://www.suprimmo.bg/imot-96839-dvustaen-apartament-pod-naem-v-kompleks-gora-v-kv-krastova-vada/,Kbs 96839,наем,Suprimmo,3,368,14.69,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.565882
1 050 €,Многостаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:120 м²Спални:3Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137564-mnogostaen-apartament-pod-naem-v-kv-lozenets/,SOF-137564,наем,Suprimmo,3,368,8.75,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.566816
500 €,Едностаен апартамент,"гр. София / кв. Павлово / Софийска област, България",Площ:40 м²Спални:1Етаж:ПартерЕтажност на сградата:3,,https://www.suprimmo.bg/imot-137568-koketen-chisto-nov-apartament-v-nay-tihata-i-spokoyna-chast-na-kv-pavlovo/,RL 137568,продава,Suprimmo,3,368,12.5,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.567845
1 100 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:78 м²Спални:1Етаж:1Етажност на сградата:5,,https://www.suprimmo.bg/imot-112383-nov-dvustaen-apartament-s-garaj/,RL 112383,продава,Suprimmo,3,368,14.1,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.568848
700 €,Тристаен апартамент,"гр. София / кв. Карпузица / Софийска област, България",Площ:98 м²Спални:2Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-137532-svetal-tristaen-apartament-pod-naem-v-kv-karpuzitsa/,SOF 137532,наем,Suprimmo,3,368,7.14,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.569772
500 €,Едностаен апартамент,"гр. София / кв. Зона Б-5 / Софийска област, България",Площ:40 м²Етаж:4Етажност на сградата:6,,https://www.suprimmo.bg/imot-137549-ednostaen-apartament-pod-naem-do-park-vazrajdane-i-metro-opalchenska/,SOF-137549,наем,Suprimmo,3,368,12.5,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.570687
900 €,Двустаен апартамент,"гр. София / кв. Симеоново / Софийска област, България",Площ:81 м²Спални:1Етаж:1Етажност на сградата:3,,https://www.suprimmo.bg/imot-137555-luksozen-apartament-s-dvor-i-gledka-kam-vitosha-v-moreni-club-residence/,SOF-137555,продава,Suprimmo,3,368,11.11,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:17.571618
1 200 €,Четиристаен апартамент,"гр. София / кв. м-т Гърдова глава / Софийска област, България",Площ:185 м²Спални:3Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137492-mnogostaen-imot--etaj-ot-kashta-s-garaj-pod-naem-v-tih-i-zelen-rayon-na-kv-boyana/,STO-137492,наем,Suprimmo,3,368,6.49,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.884451
2 500 €,Офис,"гр. София / кв. Център / Софийска област, България",Площ:300 м²Спални:3Етаж:5Етажност на сградата:5,,https://www.suprimmo.bg/imot-137504-vpechatlyavasht-ofis-pod-naem-v-sartseto-na-grsofiya/,SOF 137504,наем,Suprimmo,3,368,8.33,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.885349
1 300 €,Тристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:107 м²Спални:2Етаж:3Етажност на сградата:9,,https://www.suprimmo.bg/imot-137513-moderen-tristaen-apartament-s-parkomyasto-pod-naem-v-blizost-do-mol-paradays/,Kbs 137513,наем,Suprimmo,3,368,12.15,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.886269
1 750 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:95 м²Спални:2Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-137552-chisto-nov-luksozen-tristaen-apartament-v-top-tsentara-na-sofiya-ploshtad-garibaldi/,SOF-137552,продава,Suprimmo,3,368,18.42,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.887253
999 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:72 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-137480-luksozen-yujen-apartament-s-parkomyasto-pod-naem-v-kv-lozenets/,SOF-137480,наем,Suprimmo,3,368,13.88,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.888225
1 100 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:88 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-137482-tristaen-apartament-pod-naem-na-ul-graf-ignatiev-do-ploshtad-slaveykov/,SOF-137482,наем,Suprimmo,3,368,12.5,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-02-03T06:17:20.889156
