title,price_and_currency,location,details_url,property_type,area,agency,floor,price_per_m2,description,is_top_ad,num_photos,date_added,search_url,total_offers
"продава Тристаен апартамент, 100 м2",295 000€576 970BGN,"София, Хиподрума",https://www.imoti.net/bg/obiava/prodava/sofia/hipodruma/tristaen/6088280/?sid=iKI3oo&page=1,продава Тристаен апартамент, 100 м2,Имотен център България 2021,Етаж: 1 от 5,Цена на /м2/:2 950EUR/5 769.70BGN,,True,12,2025-10-16 18:04:05.161741,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Тристаен апартамент, 117 м2",350 649€685 810BGN,"София, Белите Брези",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/belite-brezi/tristaen/6139303/?sid=iKI3oo&page=1,продава Тристаен апартамент, 117 м2,Елеганс Естейт,Етаж: 3 от 6,Цена на /м2/:2 997EUR/5 861.62BGN,"МЕТРО!ПАЗАР КРАСНО СЕЛО!Предстоящо строителство на малка и кокетна сграда в един от най-предпочитаните райони за живеене, а именно район Красно село. Висок клас...",True,1,2025-10-16 18:04:05.162238,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Тристаен апартамент, 76 м2",361 250€706 544BGN,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/tristaen/6133602/?sid=iKI3oo&page=1,продава Тристаен апартамент, 76 м2,частно лице,Етаж: 6 от 8,Цена на /м2/:4 753EUR/9 296.63BGN,"!!! НЕ РАБОТИМ С БРОКЕРИ И АГЕНЦИИ!!!ДО ПАНТОФИ от СОБСТВЕНИКЖилището НЕ Е обвързано с кредити, ипотеки и други тежести!СВЕТЪЛ, просторен с прекрасни...",False,19,2025-10-16 18:04:05.162732,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Тристаен апартамент, 170 м2",615 000€1 202 835BGN,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/5566759/?sid=iKI3oo&page=1,продава Тристаен апартамент, 170 м2,ELEHOME,Етаж: 3 от 8,Цена на /м2/:3 618EUR/7 075.50BGN,"A P A R T M E N T  0 1 2С Апартамент 012 ELEHOME ви предлага една изключително красива, функционална и резонираща с нашето ежедневие и съвременност архитектура. Семпла, изчистена и...",True,12,2025-10-16 18:04:05.163168,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Четиристаен апартамент, 223 м2",790 000€1 545 106BGN,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/chetiristaen/6086410/?sid=iKI3oo&page=1,продава Четиристаен апартамент, 223 м2,First Estates,Етаж: 3 от 7,Цена на /м2/:3 543EUR/6 928.73BGN,"Фърст Естейтс има удоволствието да Ви представи напълно ексклузивно този невероятен апартамент на ул. Нишава, само на метри от Южния парк. Жилището се откроява с просторния си хол, който ще направи...",True,14,2025-10-16 18:04:05.163621,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Четиристаен апартамент, 223 м2",790 000€1 545 106BGN,"София, Иван Вазов",https://www.imoti.net/bg/obiava/prodava/sofia/ivan-vazov/chetiristaen/6086411/?sid=iKI3oo&page=1,продава Четиристаен апартамент, 223 м2,First Estates,Етаж: 3 от 7,Цена на /м2/:3 543EUR/6 928.73BGN,"Фърст Eстейтс има удоволствието да Ви представи напълно ексклузивно този невероятен апартамент, на входа на Южния парк. Жилището се откроява с просторния си хол, който ще направи събиранията Ви с...",True,16,2025-10-16 18:04:05.164085,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 45 м2",160 000€312 933BGN,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/strelbishte/dvustaen/6097115/?sid=iKI3oo&page=1,продава Двустаен апартамент, 45 м2,ИРИДА НЕДВИЖИМИ ИМОТИ,Етаж: 4 от 8,Цена на /м2/:3 556EUR/6 954.06BGN,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба обзаведен апартамент в кв. Стрелбище . Разположен на четвърти жилищен етаж от осем  .Намира се в непосредствена близост до детски градини,...",False,1,2025-10-16 18:04:05.164580,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 44 м2",162 500€317 822BGN,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/6103835/?sid=iKI3oo&page=1,продава Двустаен апартамент, 44 м2,Би Пи Сълюшън,Етаж: 0 от 7,Цена на /м2/:3 693EUR/7 223.24BGN,,False,6,2025-10-16 18:04:05.165030,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 55 м2",175 000€342 270BGN,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/dvustaen/6103832/?sid=iKI3oo&page=1,продава Двустаен апартамент, 55 м2,Би Пи Сълюшън,Етаж: 5 от 5,Цена на /м2/:3 182EUR/6 223.10BGN,,False,9,2025-10-16 18:04:05.165477,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 50 м2",180 000€352 049BGN,"София, Лагера",https://www.imoti.net/bg/obiava/prodava/sofia/lagera/dvustaen/6099325/?sid=iKI3oo&page=1,продава Двустаен апартамент, 50 м2,Глобъл Сървисиз,Етаж: 14 от 18,Цена на /м2/:3 600EUR/7 040.99BGN,,False,6,2025-10-16 18:04:05.165908,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Тристаен апартамент, 55 м2",185 000€361 829BGN,"София, Лозенец",https://www.imoti.net/bg/obiava/prodava/sofia/lozenec/tristaen/6113887/?sid=iKI3oo&page=1,продава Тристаен апартамент, 55 м2,BULGARIAN PROPERTIES,Етаж:  от 1,Цена на /м2/:3 364EUR/6 578.70BGN,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в imoti.net.Референтен номер: Sfa 87954Тел: 0882 817...",False,16,2025-10-16 18:04:05.166421,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 64 м2",192 000€375 519BGN,"София, Белите Брези",https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/belite-brezi/dvustaen/6139302/?sid=iKI3oo&page=1,продава Двустаен апартамент, 64 м2,Елеганс Естейт,Етаж: 3 от 6,Цена на /м2/:3 000EUR/5 867.49BGN,"МЕТРО!ПАЗАР КРАСНО СЕЛО!Предстоящо строителство на малка и кокетна сграда в един от най-предпочитаните райони за живеене, а именно район Красно село. Висок клас...",False,1,2025-10-16 18:04:05.166869,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 72 м2",192 616€376 724BGN,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/dvustaen/5965693/?sid=iKI3oo&page=1,продава Двустаен апартамент, 72 м2,АДРЕС Недвижими имоти АД,Етаж: 6 от 8,Цена на /м2/:2 675EUR/5 232.28BGN,"Двустаен апартамент със застроена площ 56,09 кв.м + тераса 10,48 кв.м. Разпределение: дневна с кухненски бокс 26,71 кв.м, спалня 9,21 кв и баня с тоалетна....",False,2,2025-10-16 18:04:05.167337,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
"продава Двустаен апартамент, 62 м2",192 617€376 726BGN,"София, Стрелбище",https://www.imoti.net/bg/obiava/prodava/sofia/strelbishte/dvustaen/5999886/?sid=iKI3oo&page=1,продава Двустаен апартамент, 62 м2,Galiano Estates,Етаж: 6 от 7,Цена на /м2/:3 107EUR/6 076.23BGN,Без комисионна от страна на купувача!!! Galiano Estates има удоволствието да ви представи двустаен апартамент в новострояща се сграда. Разполагаме с ограничени бройки двустайни и тристайни...,False,2,2025-10-16 18:04:05.167825,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=iKI3oo,417
