raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,date,ref_no,time,price_per_m2,area,floor
"Земеделска земя, 895m²",Друго,10000.0,ЛЕВА,False, продажба,,Сливен, Вилна зона,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,1.0,2025-09-18 06:03:58.178074,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35009,вчера,,,
"Земеделска земя, 959m²","Категория 9, Нива",5000.0,EUR,False, продажба,,Сливен,с.Бяла,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,0.0,2025-09-18 06:03:58.178136,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,34547,вчера,,,
"Земеделска земя, 2300m²",Нива,199999.0,EUR,False, продажба,,Пловдив, Индустриална зона - Юг,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2300m2-plovdiv-industrialna-zona---jug/la35382,1.0,2025-09-18 06:03:58.178168,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35382,вчера,,,
"Земеделска земя, 4000m²",Нива,83000.0,EUR,False, продажба,,Пловдив,с.Граф-Игнатиево,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4000m2-plovdiv-s.graf-ignatievo/la35374,1.0,2025-09-18 06:03:58.178193,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35374,вчера,,,
"Земеделска земя, 5461m²",Нива,136525.0,EUR,False, продажба,,Пловдив,жк. Христо Смирненски,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5461m2-plovdiv-zhk.-hristo-smirnenski/la35372,1.0,2025-09-18 06:03:58.178218,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35372,вчера,,,
"Земеделска земя, 2170m²",Нива,477400.0,EUR,False, продажба,,Пловдив,жк. Христо Смирненски,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2170m2-plovdiv-zhk.-hristo-smirnenski/la35380,2.0,2025-09-18 06:03:58.178245,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35380,вчера,,,
"Земеделска земя, 5002m²",Нива,32000.0,EUR,False, продажба,,Пловдив, Индустриална зона - Север,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5002m2-plovdiv-industrialna-zona---sever/la35370,1.0,2025-09-18 06:03:58.178266,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35370,вчера,,,
"Земеделска земя, 3358m²",Нива,248500.0,EUR,False, продажба,,Пловдив, Индустриална зона - Юг,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3358m2-plovdiv-industrialna-zona---jug/la35381,1.0,2025-09-18 06:03:58.178281,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35381,вчера,,,
"Земеделска земя, 3000m²",Нива,99999.0,EUR,False, продажба,,Пловдив,жк. Христо Смирненски,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-zhk.-hristo-smirnenski/la35373,1.0,2025-09-18 06:03:58.178295,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35373,вчера,,,
"Земеделска земя, 3838m²",Нива,115000.0,EUR,False, продажба,,Пловдив,с.Крумово,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3838m2-plovdiv-s.krumovo/la35375,1.0,2025-09-18 06:03:58.178344,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35375,вчера,,,
"Земеделска земя, 40000m²",Гора,480000.0,ЛЕВА,False, продажба,,Смолян,с.Смилян,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-40000m2-smolyan-s.smilyan/la20220,4.0,2025-09-18 06:03:58.178363,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,20220,вчера,,,
"Земеделска земя, 3333m²","Категория 6, Нива",25900.0,EUR,False, продажба,,Марица,с.Труд,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3333m2-marica-s.trud/la23357,1.0,2025-09-18 06:03:58.178379,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,23357,вчера,,,
"Земеделска земя, 24168m²",Ливада,49500.0,ЛЕВА,False, продажба,,Смолян,с.Смилян,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-24168m2-smolyan-s.smilyan/la22398,1.0,2025-09-18 06:03:58.178394,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,22398,вчера,,,
"Земеделска земя, 2013m²",Друго,45000.0,EUR,False, продажба,,София -,с.Долни Пасарел,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2013m2-sofiya---grad-s.dolni-pasarel/la35384,4.0,2025-09-18 06:03:58.178409,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35384,вчера,,,
"Земеделска земя, 1676m²",Друго,108810.0,EUR,False, продажба,,Бургас,с.Ахелой,,,,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1676m2-burgas-s.aheloj/la35383,5.0,2025-09-18 06:03:58.178426,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,homes.bg,2158,2025-09-18,35383,вчера,,,
