price_text,title,location,size_text,description,details_url,ref_no,agency_name,search_url,scraped_at
223 300€,Тристаен апартамент с Акт 16 до Парк-хотел Санкт Петербург,"гр. Пловдив,кв. ""Кършияка""","(2 189€/м2)(4 281,73лв./м2)Площ: 102.00 м2Етаж: 4","Предлагаме на вашето внимание тристаен апартамент с площ 102 кв.м. в нова сграда с магазини и паркоместа, разположена до хотел ""Санкт Петербург"", в кв. ""Кършияка"". Комплексът се отличава с висок клас строителство, съвременен архитектурен дизайн, европейска визия и перфектна",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-86397-tristaen-apartament-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.238444
142 200€,Двустаен апартамент до Аквапарк Санкт Петербург в кв. Кършияка,"гр. Пловдив,кв. ""Кършияка""","(1 778€/м2)(3 476,49лв./м2)Площ: 80.00 м2Етаж: 8","Представяме на вашето внимание двустаен апартамент в нова жилищна сграда висок клас строителство в бързоразвиващ се район с ново, модерно строителство в кв. Кършияка, до бул. България, с удобен градски транспорт, детски градини, училища, 3 болници, аптеки, супермаркети и много",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-87007-dvustaen-apartament-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.240622
102 000€,Двустаен апартамент в нова сграда с Акт 16 в кв. Тракия,"гр. Пловдив,кв. ""Тракия""","(1 470€/м2)(2 874,98лв./м2)Площ: 69.39 м2Етаж: 3","Ново жилище с атрактивна и удобна локация в Пловдив. В близост до комплекса има училище, детска градина, поликлиника и медицински център, магазини на Лидл, Кауфланд и Декатлон, ресторанти, кино, пазар и други. Сградата е с получен Акт 16 от 2023 г. В строителството са  вложени",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-87016-dvustaen-apartament-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.242796
от54 900€,Нов комплекс с апартаменти в кв. Беломорски,"гр. Пловдив,кв. ""Беломорски""","(822- 2 028€/м2)(1 607,69- 3 966,42лв./м2)Площ: 46.95 - 146.71 м2","Апартаменти в жилищен проект от две 4-етажни сгради със стартиращо строителство. Очакван Акт 16 - 30.12.2026г. Комплексът се намира в кв. Беломорски с бърз и лесен достъп до центъра на Пловдив. Районът предлага отлична инфраструктура.

Имотът включва две 4-етажните жилищни",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87383-apartamenti-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.245066
от66 400€,Двустайни и тристайни апартаменти в зеления кв. Беломорски,"гр. Пловдив,кв. ""Беломорски""","(830- 1 359€/м2)(1 623,34- 2 657,97лв./м2)Площ: 67.38 - 113.45 м2","Двустайни и тристайни апартаменти в жилищен проект, стартиращо строителство в края на януари, 2025 година. Очакван Акт 16  - 30.10.2026г. Имотът се намира в най-зеления квартал на Пловдив – Беломорски, на втора линия - на тихо място в бързоразвиващ се район с ново, модерно",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86398-apartamenti-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.247341
106 500€,Двустаен апартамент в нова сграда до Пловдивския Университет,"гр. Пловдив,кв. ""Захарна фабрика""","(1 442€/м2)(2 820,53лв./м2)Площ: 73.85 м2Етаж: 4","Двустаен апартамент в нова сграда в кв. Кършияка до Пловдивския университет. Жилището е подходящ вариант за отдаване под наем, тъй като районът е изключително комуникативен, в близост са разположени спирка на градски транспорт, училище, детска градина, магазини, медицински",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-84964-dvustaen-apartament-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.249497
256 000€,Тристаен апартамент в жилищна сграда пред Акт 15 в кв. Западен,"гр. Пловдив,кв. ""Западен""","(1 653€/м2)(3 233,61лв./м2)Площ: 154.84 м2Етаж: 5","Предлагаме на вашето внимание тристаен апартамент в сграда в напреднал етап на строителство в тих и престижен квартал, на пешеходно разстояние до МОЛ Пловдив, Парк Отдих и Култура, Младежки хълм и лесна комуникация до центъра и главната улица на Пловдив (10 мин с автомобил или",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-85889-tristaen-apartament-za-prodajba-v-plovdiv.html,,Петър Петаларев,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.251733
от135 700€,Жилищна сграда с модерна архитектура в кв. Христо Смирненски,"гр. Пловдив,кв. ""Христо Смирненски""","(1 461- 1 650€/м2)(2 857,47- 3 227,12лв./м2)Площ: 92.87 - 138.25 м2","Апартаменти е нова, жилищна сграда с отлична локация в гр. Пловдив. Модерна, стилна визия с красиво аранжиран вътрешен двор. Концепцията е вдъхновена от стремежа за създаване на комфортна и балансирана градска среда. Изисканата му елегантност, лукс и високото ниво на изпълнение",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85939-apartamenti-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.254000
210 000€,Новопостроен двустаен апартамент с паркомясто до Гребна база,"гр. Пловдив,кв. ""Христо Смирненски""","(2 692€/м2)(5 265,70лв./м2)Площ: 78.00 м2Партер","Разгледайте нашето ново предложение за покупка на готов за нанасяне двустаен апартамент с просторна веранда (60 кв.м.) и включено външно паркомясто в цената, разположен на партерен етаж в нова бутикова сграда, завършена през 2025 г. Имотът се намира в един от най-търсените райони",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-87389-dvustaen-apartament-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.256231
от106 500€,Жилища ново строителство в кв. Гагарин,"гр. Пловдив,кв. ""Гагарин""","(1 228- 1 575€/м2)(2 401,76- 3 080,43лв./м2)Площ: 71.12 - 203.61 м2","Нов жилищен проект в кв. Гагарин, в близост до парк „Рибница“, супермаркет „Кауфланд“, МБАЛ „Св. Иван Рилски“, до училища и детски градини и ключовите булеварди „България“ и „Васил Левски“ в Пловдив.

Отлична сграда, чието завършване и планирано за началото на 2027",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86069-apartamenti-za-prodajba-v-plovdiv.html,,Стефан Моллов,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-01-24T06:02:51.258503
