title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
"продава Тристаен апартамент, 105 м2",320000,EUR,продава,тристаен,София,Изток,"имот № 11959Продава се 3-стаен преходен апартамент в кв. Изток, в непосредствена близост до Борисовата градина.-Слънчево изложение: юг-запад-Апартаментът се състой от...",,Глобъл Сървисиз,,https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/tristaen/6012857/?sid=h892j0&page=5,15.0,2025-01-02 16:36:44.261095,imoti.net,Етаж: 6 от 10,Цена на /м2/:3 048EUR,, 105 м2
"продава Тристаен апартамент, 154 м2",324156,EUR,продава,тристаен,София,Хладилника,"Просторен, тристаен апартамент в нова луксозна сграда, до мол Парадайс. Възможност за трета спалня. ЗП 136 кв.м. Голяма покривна тераса, която не е включена в квадратурата и цената. Отопление...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/tristaen/5976825/?sid=h892j0&page=5,11.0,2025-01-02 16:36:44.261551,imoti.net,Етаж: 4 от 7,Цена на /м2/:2 105EUR,, 154 м2
"продава Тристаен апартамент, 88 м2",327376,EUR,продава,тристаен,София,Оборище,"Тристаен апартамент за продажба в новострояща се сграда на ул. Русалка.Жилището е със следното разпределение:Дневна зона с кухненски бокс – Просторна дневна зона, която...",,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/6008124/?sid=h892j0&page=5,7.0,2025-01-02 16:36:44.262067,imoti.net,Етаж:  от 7,Цена на /м2/:3 720EUR,, 88 м2
"продава Тристаен апартамент, 125 м2",328000,EUR,продава,тристаен,София,Оборище,"Тристаен апартамент разположен на 9ти реален етаж, със ЗП 109 кв.м., състоящ се от преддверие, дневна 38 кв.м. с трапезария и кухня от която се излиза на балкон 6 кв.м.. Две непреходни спални,...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/5937462/?sid=h892j0&page=5,1.0,2025-01-02 16:36:44.262518,imoti.net,Етаж: 9 от 10,Цена на /м2/:2 624EUR,, 125 м2
"продава Тристаен апартамент, 122 м2",329175,EUR,продава,тристаен,София,Оборище,"Представяме ви затворен комплекс в престижния квартал Оборище, на метри от парк ""Заимов"". Архитектурният проект предлага за продажба 277 двустайни, тристайни, четиристайни, многостайни апартаменти...",,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/5719193/?sid=h892j0&page=5,15.0,2025-01-02 16:36:44.263029,imoti.net,Етаж:  от 14,Цена на /м2/:2 698EUR,, 122 м2
"продава Тристаен апартамент, 96 м2",330000,EUR,продава,тристаен,София,Изток,"Представяме автентично, напълно обзаведено тристайно жилище от 1963г., с чиста площ от 96 кв.м. Жилището се намира на ул. Незабравка в столичния престижен кв. „Изток”, на първа линия до Борисова...",,SUPRIMMO,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/sofija-iztok/tristaen/5905371/?sid=h892j0&page=5,13.0,2025-01-02 16:36:44.263480,imoti.net,Етаж:  от 10,Цена на /м2/:3 438EUR,, 96 м2
"продава Тристаен апартамент, 112 м2",330000,EUR,продава,тристаен,София,Изток,Просторен 3-стаен апартамент в непосредствена близост до Борисовата градина в кв. Изток. Сградата е от 70-те години със заключващ се вход и предстоящо саниране по програмата за енергийна...,,Явлена София,,https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/tristaen/5907198/?sid=h892j0&page=5,19.0,2025-01-02 16:36:44.263999,imoti.net,Етаж: 6 от 7,Цена на /м2/:2 946EUR,, 112 м2
"продава Тристаен апартамент, 158 м2",331044,EUR,продава,тристаен,София,Хладилника,"Просторен, тристаен апартамент в нова луксозна сграда, до мол Парадайс.ЗП 139 кв.м, ет. 1-ви над магазини. Отопление - ток.Изложението е изток и юг. Мазе, включено в...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/tristaen/5976827/?sid=h892j0&page=5,10.0,2025-01-02 16:36:44.264456,imoti.net,Етаж: 2 от 7,Цена на /м2/:2 095EUR,, 158 м2
"продава Тристаен апартамент, 158 м2",332338,EUR,продава,тристаен,София,Хладилника,"АКТ 16! ЛУКСОЗНИ ОБЩИ ЧАСТИ!Революшън Естейт Ви представя уникален тристаен апартамент, намиращ се на отлична локация  в ж.к. Хладилника.Основни характеристики на...",,Революшън Сейлс,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/tristaen/5881842/?sid=h892j0&page=5,11.0,2025-01-02 16:36:44.264915,imoti.net,Етаж: 4 от 6,Цена на /м2/:2 103EUR,, 158 м2
"продава Тристаен апартамент, 162 м2",334950,EUR,продава,тристаен,София,Оборище,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Galiano Estates има удоволствието да ви представи разкошен тристаен апартамент в затворен комплекс ""Teatralna Park Residence"" в кв. Оборище до парк ""Заимов"" и...",,Galiano Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/5852951/?sid=h892j0&page=5,7.0,2025-01-02 16:36:44.265415,imoti.net,Етаж: 4 от 14,Цена на /м2/:2 068EUR,, 162 м2
"продава Тристаен апартамент, 100 м2",335000,EUR,продава,тристаен,София,Изток,"Ексклузивно представяме автентично тристайно жилище от 80-те години, с обща площ 100 кв.м, за продажба в престижния столичен кв. ""Изток"".Местоположението на имота е на емблематичната...",,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/sofija-iztok/tristaen/5716842/?sid=h892j0&page=5,5.0,2025-01-02 16:36:44.265920,imoti.net,Етаж:  от 14,Цена на /м2/:3 350EUR,, 100 м2
"продава Тристаен апартамент, 82 м2",335000,EUR,продава,тристаен,София,Оборище,"ЕРА Идеа има удоволствието да ви представи прекрасен тристаен апартамент за продажба в район "" Оборище "". Жилището се намира в кооперация от 1941г. на ул. "" Джовани Горини "", в близост до ул. ""...",,Ера Идеа,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/6014323/?sid=h892j0&page=5,13.0,2025-01-02 16:36:44.266375,imoti.net,Етаж:,Цена на /м2/:4 085EUR,, 82 м2
"продава Тристаен апартамент, 162 м2",335000,EUR,продава,тристаен,София,Хладилника,"Компания `ЕКС` представя на Вашето внимание тухлен, тристаен апартамент в един от най-желаните райони на София- жк Хладилнкка.МЕСТОПОЛОЖЕНИЕ: В близост до Южен парк, метростанция,...",,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/tristaen/5870763/?sid=h892j0&page=5,8.0,2025-01-02 16:36:44.266828,imoti.net,Етаж: 2 от 7,Цена на /м2/:2 068EUR,, 162 м2
"продава Тристаен апартамент, 86 м2",336609,EUR,продава,тристаен,София,Оборище,"Представяме Ви тристаен апартамент за продажба в новострояща се сграда на ул. Русалка.Жилището се намира на пети етаж, площ от 86.31 м2 и е със следното разпределение:Дневна...",,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/6008108/?sid=h892j0&page=5,6.0,2025-01-02 16:36:44.267338,imoti.net,Етаж:  от 7,Цена на /м2/:3 914EUR,, 86 м2
"продава Тристаен апартамент, 87 м2",339990,EUR,продава,тристаен,София,Изток,"Изключително качествено и напълно завършен. 31кв.м. хол с дневна.Имотът се намира на ул.”А.П.Чехов” 19 бл.91 в тухлена сграда от 1968г., която е добре поддържана - сменена дограма на общите...",,ANTRE,,https://www.imoti.net/bg/obiava/prodava/sofia/sofija-iztok/tristaen/6003383/?sid=h892j0&page=5,10.0,2025-01-02 16:36:44.267790,imoti.net,Етаж: 3 от 4,Цена на /м2/:3 908EUR,, 87 м2
"продава Тристаен апартамент, 144 м2",340725,EUR,продава,тристаен,София,Оборище,"БЕЗ КОМИСИОН ОТ КУПУВАЧА!!!ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев тристаен апартамент в новоизграждащ се затворен жилищен комплекс, с изключително висококачествено строителство от...",,ИРИДА НЕДВИЖИМИ ИМОТИ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/5909423/?sid=h892j0&page=5,1.0,2025-01-02 16:36:44.268311,imoti.net,Етаж: 7 от 14,Цена на /м2/:2 366EUR,, 144 м2
"продава Тристаен апартамент, 161 м2",345000,EUR,продава,тристаен,София,Хладилника,С ВЪЗМОЖНОСТ ЗА ДОПЪЛНИТЕЛНО ЗАКУПУВАНЕ НА ПАРКОМЯСТО!Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да Ви представи тристаен апартамент в ж.к. Хладилника.,,Калиста Естейт,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/tristaen/5851449/?sid=h892j0&page=5,10.0,2025-01-02 16:36:44.268767,imoti.net,Етаж: 2 от 7,Цена на /м2/:2 143EUR,, 161 м2
"продава Тристаен апартамент, 148 м2",346500,EUR,продава,тристаен,София,Оборище,"БЕЗ КОМИСИОН ОТ КУПУВАЧА!!!ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев тристаен апартамент в новоизграждащ се затворен жилищен комплекс, с изключително висококачествено строителство от...",,ИРИДА НЕДВИЖИМИ ИМОТИ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/5909424/?sid=h892j0&page=5,1.0,2025-01-02 16:36:44.269273,imoti.net,Етаж: 7 от 14,Цена на /м2/:2 341EUR,, 148 м2
"продава Тристаен апартамент, 124 м2",347228,EUR,продава,тристаен,София,Оборище,Компания `ЕКС` представя на Вашето внимание тристаен апартамент в един от най-предпочитаните райони на гр. София- кв. Оборище.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски...,,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/5989442/?sid=h892j0&page=5,1.0,2025-01-02 16:36:44.269726,imoti.net,Етаж: 3 от 7,Цена на /м2/:2 800EUR,, 124 м2
